GO.ID	Term	Annotated	Significant	Expected	classic
GO:0048518	positive regulation of biological process	932	669	611.87	1.0e-05
GO:0032989	cellular component morphogenesis	647	473	424.76	1.2e-05
GO:0000022	mitotic spindle elongation	77	67	50.55	1.8e-05
GO:0051231	spindle elongation	77	67	50.55	1.8e-05
GO:0065007	biological regulation	2624	1802	1722.68	1.8e-05
GO:0034645	cellular macromolecule biosynthetic process	1195	846	784.53	1.8e-05
GO:0048699	generation of neurons	672	489	441.17	2.0e-05
GO:0019538	protein metabolic process	1696	1183	1113.44	2.1e-05
GO:0016043	cellular component organization	1962	1361	1288.07	2.1e-05
GO:0009059	macromolecule biosynthetic process	1202	849	789.12	3.1e-05
GO:0071840	cellular component organization or biogenesis	2021	1398	1326.8	3.8e-05
GO:0009653	anatomical structure morphogenesis	1246	878	818.01	3.8e-05
GO:0030030	cell projection organization	509	374	334.16	5.1e-05
GO:0071704	organic substance metabolic process	3630	2460	2383.13	5.2e-05
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	30	29	19.7	5.3e-05
GO:0072521	purine-containing compound metabolic process	166	132	108.98	5.4e-05
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	125	102	82.06	5.5e-05
GO:0048666	neuron development	531	389	348.61	5.6e-05
GO:0044699	single-organism process	4716	3167	3096.09	6.4e-05
GO:0010498	proteasomal protein catabolic process	128	104	84.03	6.5e-05
GO:0010467	gene expression	1473	1028	967.04	8.2e-05
GO:0051130	positive regulation of cellular component organization	160	127	105.04	8.7e-05
GO:0034641	cellular nitrogen compound metabolic process	1928	1332	1265.75	9.4e-05
GO:0000902	cell morphogenesis	571	415	374.87	0.00011
GO:0048646	anatomical structure formation involved in morphogenesis	395	293	259.32	0.00011
GO:0019222	regulation of metabolic process	1286	901	844.27	0.00011
GO:0010604	positive regulation of macromolecule metabolic process	417	308	273.76	0.00013
GO:0051128	regulation of cellular component organization	550	400	361.08	0.00013
GO:0044248	cellular catabolic process	478	350	313.81	0.00014
GO:0009893	positive regulation of metabolic process	507	370	332.85	0.00015
GO:0006996	organelle organization	1295	905	850.18	0.00019
GO:0043632	modification-dependent macromolecule catabolic process	205	158	134.58	0.00021
GO:0044257	cellular protein catabolic process	205	158	134.58	0.00021
GO:0051603	proteolysis involved in cellular protein catabolic process	205	158	134.58	0.00021
GO:0030182	neuron differentiation	609	439	399.81	0.00023
GO:0019941	modification-dependent protein catabolic process	204	157	133.93	0.00025
GO:0032990	cell part morphogenesis	453	331	297.4	0.00028
GO:0008283	cell proliferation	275	207	180.54	0.00029
GO:0080090	regulation of primary metabolic process	1062	746	697.21	0.00031
GO:0030163	protein catabolic process	220	168	144.43	0.00031
GO:0044767	single-organism developmental process	2474	1689	1624.2	0.00033
GO:0009058	biosynthetic process	1591	1101	1044.51	0.00035
GO:0044271	cellular nitrogen compound biosynthetic process	1211	846	795.03	0.00035
GO:0044249	cellular biosynthetic process	1526	1057	1001.83	0.00039
GO:1902589	single-organism organelle organization	982	691	644.69	0.00040
GO:0006367	transcription initiation from RNA polymerase II promoter	70	59	45.96	0.00040
GO:0022008	neurogenesis	1105	774	725.44	0.00040
GO:0031325	positive regulation of cellular metabolic process	437	319	286.89	0.00041
GO:0006511	ubiquitin-dependent protein catabolic process	201	154	131.96	0.00042
GO:1901576	organic substance biosynthetic process	1543	1068	1012.99	0.00042
GO:0009117	nucleotide metabolic process	211	161	138.52	0.00045
GO:0006753	nucleoside phosphate metabolic process	214	163	140.49	0.00048
GO:0008154	actin polymerization or depolymerization	44	39	28.89	0.00048
GO:0008152	metabolic process	4097	2754	2689.72	0.00050
GO:0048858	cell projection morphogenesis	445	324	292.15	0.00050
GO:0044089	positive regulation of cellular component biogenesis	77	64	50.55	0.00051
GO:0007010	cytoskeleton organization	547	394	359.11	0.00053
GO:0031323	regulation of cellular metabolic process	1101	770	722.82	0.00056
GO:0060341	regulation of cellular localization	136	107	89.29	0.00058
GO:0060255	regulation of macromolecule metabolic process	1112	777	730.04	0.00062
GO:0002064	epithelial cell development	236	178	154.94	0.00064
GO:0003006	developmental process involved in reproduction	637	455	418.2	0.00064
GO:0010557	positive regulation of macromolecule biosynthetic process	246	185	161.5	0.00065
GO:0007254	JNK cascade	60	51	39.39	0.00066
GO:0032502	developmental process	2506	1706	1645.21	0.00072
GO:0031175	neuron projection development	435	316	285.58	0.00076
GO:0072089	stem cell proliferation	83	68	54.49	0.00077
GO:0051293	establishment of spindle localization	23	22	15.1	0.00080
GO:0051653	spindle localization	23	22	15.1	0.00080
GO:0051254	positive regulation of RNA metabolic process	231	174	151.65	0.00081
GO:0016310	phosphorylation	453	328	297.4	0.00088
GO:0006818	hydrogen transport	42	37	27.57	0.00089
GO:0034613	cellular protein localization	300	222	196.95	0.00093
GO:0007399	nervous system development	1255	871	823.92	0.00103
GO:0045893	positive regulation of transcription, DNA-templated	226	170	148.37	0.00104
GO:1902680	positive regulation of RNA biosynthetic process	226	170	148.37	0.00104
GO:1903508	positive regulation of nucleic acid-templated transcription	226	170	148.37	0.00104
GO:0007405	neuroblast proliferation	70	58	45.96	0.00109
GO:0061351	neural precursor cell proliferation	70	58	45.96	0.00109
GO:1902532	negative regulation of intracellular signal transduction	70	58	45.96	0.00109
GO:0006915	apoptotic process	171	131	112.26	0.00112
GO:0015992	proton transport	41	36	26.92	0.00121
GO:0090150	establishment of protein localization to membrane	41	36	26.92	0.00121
GO:0048515	spermatid differentiation	81	66	53.18	0.00123
GO:0006352	DNA-templated transcription, initiation	77	63	50.55	0.00129
GO:0051173	positive regulation of nitrogen compound metabolic process	281	208	184.48	0.00131
GO:0016331	morphogenesis of embryonic epithelium	103	82	67.62	0.00131
GO:0043170	macromolecule metabolic process	2849	1929	1870.39	0.00136
GO:0008104	protein localization	436	315	286.24	0.00141
GO:0010639	negative regulation of organelle organization	65	54	42.67	0.00143
GO:0048812	neuron projection morphogenesis	423	306	277.7	0.00144
GO:0072657	protein localization to membrane	53	45	34.79	0.00144
GO:0012501	programmed cell death	267	198	175.29	0.00145
GO:0006732	coenzyme metabolic process	84	68	55.15	0.00146
GO:0044702	single organism reproductive process	694	491	455.62	0.00149
GO:0030855	epithelial cell differentiation	270	200	177.26	0.00151
GO:0007276	gamete generation	659	467	432.64	0.00158
GO:0031399	regulation of protein modification process	213	160	139.84	0.00160
GO:0051641	cellular localization	746	526	489.76	0.00161
GO:0080134	regulation of response to stress	223	167	146.4	0.00162
GO:0007281	germ cell development	574	409	376.84	0.00164
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	148	114	97.16	0.00164
GO:0072350	tricarboxylic acid metabolic process	31	28	20.35	0.00167
GO:0006165	nucleoside diphosphate phosphorylation	21	20	13.79	0.00172
GO:0032873	negative regulation of stress-activated MAPK cascade	21	20	13.79	0.00172
GO:0046329	negative regulation of JNK cascade	21	20	13.79	0.00172
GO:0046939	nucleotide phosphorylation	21	20	13.79	0.00172
GO:0070303	negative regulation of stress-activated protein kinase signaling cascade	21	20	13.79	0.00172
GO:0001933	negative regulation of protein phosphorylation	44	38	28.89	0.00177
GO:0046328	regulation of JNK cascade	44	38	28.89	0.00177
GO:0010628	positive regulation of gene expression	262	194	172.01	0.00183
GO:0022412	cellular process involved in reproduction in multicellular organism	623	442	409	0.00183
GO:0051247	positive regulation of protein metabolic process	168	128	110.29	0.00185
GO:0007017	microtubule-based process	398	288	261.29	0.00192
GO:1902580	single-organism cellular localization	343	250	225.18	0.00198
GO:0016482	cytoplasmic transport	248	184	162.81	0.00204
GO:0044087	regulation of cellular component biogenesis	208	156	136.55	0.00205
GO:0007298	border follicle cell migration	108	85	70.9	0.00205
GO:0016192	vesicle-mediated transport	483	346	317.09	0.00213
GO:0006605	protein targeting	129	100	84.69	0.00216
GO:0048477	oogenesis	508	363	333.51	0.00220
GO:0051252	regulation of RNA metabolic process	702	495	460.87	0.00220
GO:0000904	cell morphogenesis involved in differentiation	387	280	254.07	0.00224
GO:0050829	defense response to Gram-negative bacterium	82	66	53.83	0.00228
GO:0009891	positive regulation of biosynthetic process	280	206	183.82	0.00229
GO:0031328	positive regulation of cellular biosynthetic process	280	206	183.82	0.00229
GO:0051129	negative regulation of cellular component organization	111	87	72.87	0.00229
GO:0006101	citrate metabolic process	30	27	19.7	0.00232
GO:0051403	stress-activated MAPK cascade	63	52	41.36	0.00233
GO:0072594	establishment of protein localization to organelle	118	92	77.47	0.00234
GO:0007009	plasma membrane organization	43	37	28.23	0.00235
GO:0033036	macromolecule localization	570	405	374.21	0.00240
GO:0007349	cellularization	78	63	51.21	0.00242
GO:0009056	catabolic process	573	407	376.18	0.00243
GO:0033043	regulation of organelle organization	240	178	157.56	0.00246
GO:0040001	establishment of mitotic spindle localization	20	19	13.13	0.00251
GO:0007051	spindle organization	213	159	139.84	0.00262
GO:0045935	positive regulation of nucleobase-containing compound metabolic process	246	182	161.5	0.00267
GO:0036445	neuronal stem cell division	34	30	22.32	0.00270
GO:0055057	neuroblast division	34	30	22.32	0.00270
GO:0055059	asymmetric neuroblast division	34	30	22.32	0.00270
GO:0007279	pole cell formation	14	14	9.19	0.00274
GO:0051649	establishment of localization in cell	634	448	416.23	0.00278
GO:0044700	single organism signaling	1265	873	830.48	0.00281
GO:0044265	cellular macromolecule catabolic process	262	193	172.01	0.00283
GO:0031098	stress-activated protein kinase signaling cascade	66	54	43.33	0.00285
GO:0002066	columnar/cuboidal epithelial cell development	219	163	143.78	0.00287
GO:0051246	regulation of protein metabolic process	375	271	246.19	0.00292
GO:0008064	regulation of actin polymerization or depolymerization	38	33	24.95	0.00296
GO:0030832	regulation of actin filament length	38	33	24.95	0.00296
GO:0008219	cell death	291	213	191.04	0.00297
GO:0032386	regulation of intracellular transport	62	51	40.7	0.00297
GO:0043604	amide biosynthetic process	394	284	258.66	0.00297
GO:0010646	regulation of cell communication	602	426	395.22	0.00299
GO:0023052	signaling	1267	874	831.8	0.00302
GO:0042692	muscle cell differentiation	88	70	57.77	0.00303
GO:0043603	cellular amide metabolic process	454	325	298.05	0.00309
GO:0043043	peptide biosynthetic process	384	277	252.1	0.00311
GO:0042326	negative regulation of phosphorylation	46	39	30.2	0.00319
GO:0006099	tricarboxylic acid cycle	29	26	19.04	0.00321
GO:0051495	positive regulation of cytoskeleton organization	29	26	19.04	0.00321
GO:0007286	spermatid development	73	59	47.93	0.00322
GO:0006139	nucleobase-containing compound metabolic process	1537	1054	1009.05	0.00326
GO:0030707	ovarian follicle cell development	218	162	143.12	0.00330
GO:0060429	epithelium development	793	555	520.61	0.00330
GO:0000226	microtubule cytoskeleton organization	345	250	226.5	0.00331
GO:0045165	cell fate commitment	345	250	226.5	0.00331
GO:0009790	embryo development	412	296	270.48	0.00335
GO:0051674	localization of cell	241	178	158.22	0.00335
GO:0055086	nucleobase-containing small molecule metabolic process	241	178	158.22	0.00335
GO:0042981	regulation of apoptotic process	130	100	85.35	0.00335
GO:0007391	dorsal closure	91	72	59.74	0.00345
GO:0048583	regulation of response to stimulus	749	525	491.72	0.00353
GO:0009060	aerobic respiration	33	29	21.66	0.00367
GO:0006793	phosphorus metabolic process	767	537	503.54	0.00368
GO:0035556	intracellular signal transduction	452	323	296.74	0.00378
GO:0051493	regulation of cytoskeleton organization	94	74	61.71	0.00388
GO:0000768	syncytium formation by plasma membrane fusion	37	32	24.29	0.00396
GO:0006949	syncytium formation	37	32	24.29	0.00396
GO:0007520	myoblast fusion	37	32	24.29	0.00396
GO:0030041	actin filament polymerization	37	32	24.29	0.00396
GO:1902600	hydrogen ion transmembrane transport	37	32	24.29	0.00396
GO:0070727	cellular macromolecule localization	353	255	231.75	0.00397
GO:0016265	death	295	215	193.67	0.00401
GO:0007297	ovarian follicle cell migration	115	89	75.5	0.00405
GO:0042176	regulation of protein catabolic process	53	44	34.79	0.00406
GO:0002065	columnar/cuboidal epithelial cell differentiation	223	165	146.4	0.00411
GO:0048519	negative regulation of biological process	919	639	603.33	0.00411
GO:0023051	regulation of signaling	589	416	386.68	0.00414
GO:0065009	regulation of molecular function	262	192	172.01	0.00428
GO:0034654	nucleobase-containing compound biosynthetic process	808	564	530.46	0.00433
GO:0051146	striated muscle cell differentiation	79	63	51.86	0.00433
GO:0032774	RNA biosynthetic process	703	493	461.53	0.00442
GO:1990778	protein localization to cell periphery	28	25	18.38	0.00443
GO:0032270	positive regulation of cellular protein metabolic process	159	120	104.38	0.00450
GO:0006412	translation	339	245	222.56	0.00453
GO:0046907	intracellular transport	469	334	307.9	0.00456
GO:0042325	regulation of phosphorylation	169	127	110.95	0.00458
GO:0006518	peptide metabolic process	431	308	282.96	0.00463
GO:0048870	cell motility	235	173	154.28	0.00478
GO:0071310	cellular response to organic substance	182	136	119.48	0.00486
GO:0065008	regulation of biological quality	831	579	545.56	0.00487
GO:0042461	photoreceptor cell development	82	65	53.83	0.00494
GO:0032273	positive regulation of protein polymerization	23	21	15.1	0.00510
GO:0072659	protein localization to plasma membrane	23	21	15.1	0.00510
GO:0006355	regulation of transcription, DNA-templated	630	443	413.6	0.00514
GO:1903506	regulation of nucleic acid-templated transcription	630	443	413.6	0.00514
GO:2001141	regulation of RNA biosynthetic process	630	443	413.6	0.00514
GO:0006351	transcription, DNA-templated	701	491	460.21	0.00519
GO:0097659	nucleic acid-templated transcription	701	491	460.21	0.00519
GO:0006464	cellular protein modification process	873	607	573.13	0.00519
GO:0036211	protein modification process	873	607	573.13	0.00519
GO:0098722	asymmetric stem cell division	52	43	34.14	0.00520
GO:0007154	cell communication	1346	924	883.66	0.00522
GO:0045184	establishment of protein localization	312	226	204.83	0.00526
GO:0030010	establishment of cell polarity	36	31	23.63	0.00528
GO:0032271	regulation of protein polymerization	36	31	23.63	0.00528
GO:0017038	protein import	67	54	43.99	0.00534
GO:0010638	positive regulation of organelle organization	78	62	51.21	0.00534
GO:0048523	negative regulation of cellular process	802	559	526.52	0.00541
GO:0048103	somatic stem cell division	40	34	26.26	0.00542
GO:0050790	regulation of catalytic activity	224	165	147.06	0.00556
GO:0051093	negative regulation of developmental process	144	109	94.54	0.00565
GO:0048731	system development	1778	1211	1167.27	0.00596
GO:0016477	cell migration	230	169	151	0.00597
GO:0048856	anatomical structure development	2247	1522	1475.17	0.00600
GO:0007292	female gamete generation	513	363	336.79	0.00604
GO:0007049	cell cycle	696	487	456.93	0.00605
GO:0042592	homeostatic process	246	180	161.5	0.00620
GO:0033365	protein localization to organelle	140	106	91.91	0.00622
GO:0006796	phosphate-containing compound metabolic process	757	528	496.98	0.00630
GO:0051726	regulation of cell cycle	275	200	180.54	0.00632
GO:0048667	cell morphogenesis involved in neuron differentiation	355	255	233.06	0.00636
GO:0001667	ameboidal-type cell migration	150	113	98.48	0.00637
GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	12	12	7.88	0.00638
GO:0009888	tissue development	867	602	569.19	0.00643
GO:0006886	intracellular protein transport	226	166	148.37	0.00656
GO:0015031	protein transport	300	217	196.95	0.00687
GO:0019637	organophosphate metabolic process	335	241	219.93	0.00699
GO:1902582	single-organism intracellular transport	411	293	269.82	0.00702
GO:0000278	mitotic cell cycle	505	357	331.54	0.00707
GO:0019219	regulation of nucleobase-containing compound metabolic process	737	514	483.85	0.00710
GO:0044281	small molecule metabolic process	601	422	394.56	0.00729
GO:0051338	regulation of transferase activity	80	63	52.52	0.00739
GO:0061061	muscle structure development	202	149	132.61	0.00754
GO:0030011	maintenance of cell polarity	17	16	11.16	0.00768
GO:0050793	regulation of developmental process	532	375	349.26	0.00774
GO:0061024	membrane organization	182	135	119.48	0.00777
GO:0010941	regulation of cell death	172	128	112.92	0.00784
GO:0019953	sexual reproduction	714	498	468.75	0.00795
GO:0044782	cilium organization	26	23	17.07	0.00834
GO:0010648	negative regulation of cell communication	237	173	155.59	0.00843
GO:0019220	regulation of phosphate metabolic process	188	139	123.42	0.00844
GO:0051174	regulation of phosphorus metabolic process	188	139	123.42	0.00844
GO:0048609	multicellular organismal reproductive process	713	497	468.09	0.00857
GO:0032872	regulation of stress-activated MAPK cascade	46	38	30.2	0.00883
GO:0070302	regulation of stress-activated protein kinase signaling cascade	46	38	30.2	0.00883
GO:1903649	regulation of cytoplasmic transport	46	38	30.2	0.00883
GO:0007525	somatic muscle development	61	49	40.05	0.00887
GO:0043067	regulation of programmed cell death	151	113	99.13	0.00907
GO:1901575	organic substance catabolic process	449	318	294.77	0.00915
GO:1903047	mitotic cell cycle process	449	318	294.77	0.00915
GO:0051186	cofactor metabolic process	93	72	61.06	0.00918
GO:0023057	negative regulation of signaling	233	170	152.97	0.00924
GO:0072524	pyridine-containing compound metabolic process	38	32	24.95	0.00930
GO:0097285	cell-type specific apoptotic process	38	32	24.95	0.00930
GO:0009894	regulation of catabolic process	134	101	87.97	0.00937
GO:0046530	photoreceptor cell differentiation	144	108	94.54	0.00949
GO:0001932	regulation of protein phosphorylation	154	115	101.1	0.00953
GO:0032268	regulation of cellular protein metabolic process	351	251	230.43	0.00959
GO:0044093	positive regulation of molecular function	110	84	72.22	0.00967
GO:0006123	mitochondrial electron transport, cytochrome c to oxygen	11	11	7.22	0.00972
GO:0046483	heterocycle metabolic process	1602	1091	1051.73	0.00974
GO:0022607	cellular component assembly	668	466	438.55	0.00996
GO:0030838	positive regulation of actin filament polymerization	21	19	13.79	0.01000
GO:0016197	endosomal transport	82	64	53.83	0.01001
GO:0098662	inorganic cation transmembrane transport	64	51	42.02	0.01021
GO:0043412	macromolecule modification	921	636	604.64	0.01035
GO:0090130	tissue migration	150	112	98.48	0.01050
GO:0007293	germarium-derived egg chamber formation	106	81	69.59	0.01065
GO:0017145	stem cell division	71	56	46.61	0.01068
GO:0010631	epithelial cell migration	143	107	93.88	0.01102
GO:0006029	proteoglycan metabolic process	16	15	10.5	0.01109
GO:0006096	glycolytic process	16	15	10.5	0.01109
GO:0006757	ATP generation from ADP	16	15	10.5	0.01109
GO:0007448	anterior/posterior pattern specification, imaginal disc	16	15	10.5	0.01109
GO:0030166	proteoglycan biosynthetic process	16	15	10.5	0.01109
GO:0010927	cellular component assembly involved in morphogenesis	116	88	76.15	0.01109
GO:0006725	cellular aromatic compound metabolic process	1635	1112	1073.39	0.01131
GO:0015988	energy coupled proton transmembrane transport, against electrochemical gradient	25	22	16.41	0.01137
GO:0015991	ATP hydrolysis coupled proton transport	25	22	16.41	0.01137
GO:0016568	chromatin modification	215	157	141.15	0.01149
GO:0031400	negative regulation of protein modification process	67	53	43.99	0.01161
GO:0042462	eye photoreceptor cell development	67	53	43.99	0.01161
GO:0051962	positive regulation of nervous system development	67	53	43.99	0.01161
GO:0098660	inorganic ion transmembrane transport	67	53	43.99	0.01161
GO:0009968	negative regulation of signal transduction	218	159	143.12	0.01184
GO:0006928	movement of cell or subcellular component	443	313	290.83	0.01184
GO:0010563	negative regulation of phosphorus metabolic process	56	45	36.76	0.01185
GO:0045936	negative regulation of phosphate metabolic process	56	45	36.76	0.01185
GO:0051170	nuclear import	56	45	36.76	0.01185
GO:0016358	dendrite development	169	125	110.95	0.01188
GO:0030031	cell projection assembly	74	58	48.58	0.01195
GO:0009966	regulation of signal transduction	533	374	349.92	0.01198
GO:0045732	positive regulation of protein catabolic process	29	25	19.04	0.01204
GO:1901214	regulation of neuron death	29	25	19.04	0.01204
GO:0040011	locomotion	452	319	296.74	0.01222
GO:0019362	pyridine nucleotide metabolic process	33	28	21.66	0.01224
GO:0030833	regulation of actin filament polymerization	33	28	21.66	0.01224
GO:0046496	nicotinamide nucleotide metabolic process	33	28	21.66	0.01224
GO:0007283	spermatogenesis	162	120	106.35	0.01256
GO:0048232	male gamete generation	162	120	106.35	0.01256
GO:0044703	multi-organism reproductive process	725	503	475.97	0.01363
GO:0032787	monocarboxylic acid metabolic process	101	77	66.31	0.01388
GO:0032456	endocytic recycling	20	18	13.13	0.01394
GO:0042051	compound eye photoreceptor development	66	52	43.33	0.01422
GO:0070887	cellular response to chemical stimulus	239	173	156.91	0.01423
GO:0007015	actin filament organization	121	91	79.44	0.01465
GO:0007052	mitotic spindle organization	187	137	122.77	0.01474
GO:0006606	protein import into nucleus	55	44	36.11	0.01475
GO:0032956	regulation of actin cytoskeleton organization	55	44	36.11	0.01475
GO:0032970	regulation of actin filament-based process	55	44	36.11	0.01475
GO:1902593	single-organism nuclear import	55	44	36.11	0.01475
GO:0010458	exit from mitosis	10	10	6.57	0.01482
GO:0046959	habituation	10	10	6.57	0.01482
GO:0014902	myotube differentiation	40	33	26.26	0.01510
GO:0048585	negative regulation of response to stimulus	264	190	173.32	0.01520
GO:0044802	single-organism membrane organization	144	107	94.54	0.01542
GO:0090132	epithelium migration	144	107	94.54	0.01542
GO:0009132	nucleoside diphosphate metabolic process	24	21	15.76	0.01544
GO:0045887	positive regulation of synaptic growth at neuromuscular junction	24	21	15.76	0.01544
GO:1904398	positive regulation of neuromuscular junction development	24	21	15.76	0.01544
GO:0016070	RNA metabolic process	1159	793	760.89	0.01567
GO:0009792	embryo development ending in birth or egg hatching	157	116	103.07	0.01585
GO:0010591	regulation of lamellipodium assembly	15	14	9.85	0.01597
GO:0051294	establishment of spindle orientation	15	14	9.85	0.01597
GO:0090002	establishment of protein localization to plasma membrane	15	14	9.85	0.01597
GO:1902743	regulation of lamellipodium organization	15	14	9.85	0.01597
GO:0007275	multicellular organismal development	2103	1420	1380.64	0.01597
GO:0031334	positive regulation of protein complex assembly	28	24	18.38	0.01604
GO:0042052	rhabdomere development	32	27	21.01	0.01605
GO:1903320	regulation of protein modification by small protein conjugation or removal	32	27	21.01	0.01605
GO:0044085	cellular component biogenesis	744	515	488.44	0.01606
GO:0051049	regulation of transport	173	127	113.58	0.01667
GO:0048598	embryonic morphogenesis	186	136	122.11	0.01672
GO:1903827	regulation of cellular protein localization	47	38	30.86	0.01705
GO:0048813	dendrite morphogenesis	163	120	107.01	0.01709
GO:0006979	response to oxidative stress	86	66	56.46	0.01724
GO:0022411	cellular component disassembly	65	51	42.67	0.01736
GO:0098655	cation transmembrane transport	65	51	42.67	0.01736
GO:0006325	chromatin organization	250	180	164.13	0.01739
GO:0001700	embryonic development via the syncytial blastoderm	153	113	100.45	0.01745
GO:0035071	salivary gland cell autophagic cell death	79	61	51.86	0.01748
GO:0048102	autophagic cell death	79	61	51.86	0.01748
GO:0043085	positive regulation of catalytic activity	96	73	63.02	0.01808
GO:0051179	localization	1566	1063	1028.09	0.01836
GO:0009889	regulation of biosynthetic process	748	517	491.07	0.01850
GO:0051234	establishment of localization	1294	882	849.52	0.01855
GO:0032504	multicellular organism reproduction	769	531	504.86	0.01887
GO:0044272	sulfur compound biosynthetic process	39	32	25.6	0.01929
GO:0045010	actin nucleation	19	17	12.47	0.01934
GO:0046528	imaginal disc fusion	19	17	12.47	0.01934
GO:0046529	imaginal disc fusion, thorax closure	19	17	12.47	0.01934
GO:0031326	regulation of cellular biosynthetic process	747	516	490.41	0.01976
GO:0001751	compound eye photoreceptor cell differentiation	119	89	78.12	0.01982
GO:0010468	regulation of gene expression	844	581	554.09	0.02000
GO:0022414	reproductive process	762	526	500.26	0.02004
GO:0051261	protein depolymerization	35	29	22.98	0.02025
GO:0007098	centrosome cycle	85	65	55.8	0.02051
GO:0018205	peptidyl-lysine modification	112	84	73.53	0.02078
GO:0001754	eye photoreceptor cell differentiation	122	91	80.09	0.02081
GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process	23	20	15.1	0.02087
GO:0060271	cilium morphogenesis	23	20	15.1	0.02087
GO:1901215	negative regulation of neuron death	23	20	15.1	0.02087
GO:0043549	regulation of kinase activity	64	50	42.02	0.02112
GO:0032880	regulation of protein localization	71	55	46.61	0.02116
GO:0051965	positive regulation of synapse assembly	27	23	17.73	0.02127
GO:0030162	regulation of proteolysis	95	72	62.37	0.02131
GO:0006807	nitrogen compound metabolic process	2105	1419	1381.95	0.02187
GO:0006082	organic acid metabolic process	270	193	177.26	0.02200
GO:0043436	oxoacid metabolic process	270	193	177.26	0.02200
GO:0006338	chromatin remodeling	88	67	57.77	0.02202
GO:0060548	negative regulation of cell death	88	67	57.77	0.02202
GO:0030036	actin cytoskeleton organization	203	147	133.27	0.02222
GO:1901566	organonitrogen compound biosynthetic process	568	395	372.9	0.02244
GO:1900006	positive regulation of dendrite development	9	9	5.91	0.02259
GO:0006913	nucleocytoplasmic transport	98	74	64.34	0.02266
GO:0051169	nuclear transport	98	74	64.34	0.02266
GO:0007163	establishment or maintenance of cell polarity	164	120	107.67	0.02289
GO:0045862	positive regulation of proteolysis	42	34	27.57	0.02296
GO:1902578	single-organism localization	1203	820	789.78	0.02312
GO:2000112	regulation of cellular macromolecule biosynthetic process	705	487	462.84	0.02321
GO:1901360	organic cyclic compound metabolic process	1674	1133	1099	0.02347
GO:0045595	regulation of cell differentiation	228	164	149.68	0.02373
GO:0019725	cellular homeostasis	121	90	79.44	0.02406
GO:0051094	positive regulation of developmental process	157	115	103.07	0.02438
