transcript_name	Gene_name	RAL-486-Unchallenged
NM_001014612	CG8481	3.809
NM_001014613	hth	0.572
NM_001014614	pug	3.340
NM_001014617	CtBP	4.449
NM_001014619	B52	5.636
NM_001014621	trx	0.401
NM_001014623	btsz	2.460
NM_001014624	btsz	1.913
NM_001014625	btsz	1.172
NM_001014626	gish	3.999
NM_001014627	gish	4.243
NM_001014628	gish	3.562
NM_001014629	Dad	2.856
NM_001014631	cpo	-0.279
NM_001014632	cpo	0.565
NM_001014633	Rpb4	2.355
NM_001014634	Rpb4	1.218
NM_001014635	Rpb4	1.161
NM_001014636	Rpb4	1.152
NM_001014637	Rpb4	1.227
NM_001014643	Stat92E	5.171
NM_001014644	CG7956	1.341
NM_001014646	CG33111	3.165
NM_001014647	jar	5.109
NM_001014648	jar	5.166
NM_001014649	jar	5.062
NM_001014650	jar	5.060
NM_001014651	slo	2.026
NM_001014652	slo	2.026
NM_001014653	slo	2.065
NM_001014654	slo	2.102
NM_001014655	slo	2.081
NM_001014656	slo	2.109
NM_001014657	slo	2.120
NM_001014658	slo	2.142
NM_001014659	slo	2.103
NM_001014660	slo	2.065
NM_001014661	slo	2.017
NM_001014662	slo	2.142
NM_001014663	slo	2.082
NM_001014664	slo	2.080
NM_001014665	Ssadh	5.437
NM_001014666	Ssadh	5.449
NM_001014667	Ssadh	5.442
NM_001014668	Nf1	-0.095
NM_001014669	scrib	4.244
NM_001014670	scrib	4.229
NM_001014671	Rb97D	2.142
NM_001014672	Rb97D	1.927
NM_001014673	Rb97D	2.149
NM_001014674	Rb97D	2.117
NM_001014675	Rb97D	2.140
NM_001014676	Rb97D	2.165
NM_001014677	Rb97D	2.124
NM_001014678	Doa	3.372
NM_001014679	Doa	3.412
NM_001014680	Doa	3.817
NM_001014681	Doa	2.529
NM_001014682	Doa	3.918
NM_001014684	Mgat2	1.100
NM_001014685	pan	2.294
NM_001014687	PMCA	4.445
NM_001014688	PMCA	4.481
NM_001014689	PMCA	4.584
NM_001014691	gw	4.596
NM_001014696	CaMKII	3.209
NM_001014702	CG33521	3.348
NM_001014703	CG33521	3.541
NM_001014705	CG33521	3.478
NM_001014707	ewg	1.586
NM_001014708	ewg	1.594
NM_001014709	ewg	1.383
NM_001014710	ewg	1.357
NM_001014711	ewg	1.388
NM_001014712	ewg	1.517
NM_001014720	norpA	0.440
NM_001014721	norpA	1.099
NM_001014722	peb	3.547
NM_001014723	Proc-R	1.494
NM_001014724	Proc-R	1.589
NM_001014725	Act5C	9.869
NM_001014726	Act5C	9.658
NM_001014728	l(1)G0232	2.284
NM_001014729	l(1)G0232	3.249
NM_001014731	CkIIbeta	4.464
NM_001014736	HDAC4	1.331
NM_001014737	up	7.271
NM_001014738	up	7.301
NM_001014739	up	7.315
NM_001014740	rdgB	0.463
NM_001014741	rdgB	1.171
NM_001014742	Top1	3.183
NM_001014745	Ac13E	2.097
NM_001014746	CG32576	3.774
NM_001014747	nonA	2.550
NM_001014750	mnb	1.279
NM_001014752	CoRest	2.552
NM_001014753	CoRest	2.531
NM_001014754	CoRest	1.495
NM_001014755	CoRest	1.197
NM_001014756	CoRest	1.483
NM_001031858	Caps	-0.158
NM_001031859	Caps	-0.147
NM_001031860	Caps	-0.214
NM_001031861	tyn	-1.486
NM_001031862	trol	2.771
NM_001031863	trol	2.786
NM_001031864	trol	2.925
NM_001031865	trol	2.457
NM_001031866	trol	2.839
NM_001031867	trol	2.873
NM_001031869	CG15892	2.739
NM_001031877	CG3192	5.354
NM_001031878	Pink1	5.132
NM_001031879	Pink1	5.084
NM_001031880	Pink1	5.147
NM_001031881	Pink1	5.119
NM_001031882	Pink1	5.122
NM_001031883	Pink1	5.136
NM_001031887	CG33691	0.948
NM_001031888	CG33691	1.335
NM_001031889	CG33691	0.953
NM_001031891	Sxl	3.062
NM_001031892	Sxl	2.405
NM_001031893	Sxl	3.654
NM_001031894	Sxl	3.214
NM_001031895	Sxl	3.001
NM_001031897	mei-218	-0.312
NM_001031898	mei-217	-0.312
NM_001031900	Shawn	2.781
NM_001031901	Shawn	1.672
NM_001031902	Shawn	1.698
NM_001031903	Tim9b	2.448
NM_001031904	Tim9b	2.300
NM_001031907	Rpp20	3.665
NM_001031908	CG33932	3.665
NM_001031912	CG33714	4.995
NM_001031913	CG33714	4.937
NM_001031914	CG33713	4.937
NM_001031915	CG33713	4.995
NM_001031916	bbx	3.143
NM_001031917	bbx	2.695
NM_001031918	waw	2.706
NM_001031933	CG33232	4.887
NM_001031938	Pmi	2.768
NM_001031939	Pmi	2.990
NM_001031940	PGRP-LD	2.790
NM_001031941	PGRP-LD	2.990
NM_001031942	PGRP-LD	2.922
NM_001031943	Hsp22	1.967
NM_001031944	Hsp22	1.126
NM_001031945	Hsp67Bb	1.118
NM_001031947	CG33926	4.123
NM_001031964	AlCR2	-0.052
NM_001031967	kug	0.993
NM_001031977	l(3)82Fd	4.950
NM_001031978	l(3)82Fd	5.072
NM_001031980	Ada2b	2.902
NM_001031981	CG33722	2.691
NM_001031982	CG33722	3.722
NM_001031983	CG18749	2.691
NM_001031984	Pif1B	4.059
NM_001031985	Pif1B	4.005
NM_001031986	Pif1A	3.257
NM_001031987	Pif1A	4.005
NM_001031989	CG33936	4.540
NM_001031990	CG33936	4.483
NM_001031991	CG33936	5.262
NM_001031999	hth	0.828
NM_001032004	sea	6.330
NM_001032005	sea	7.967
NM_001032006	sea	6.511
NM_001032007	sea	6.468
NM_001032008	fabp	7.967
NM_001032009	fabp	9.574
NM_001032010	fabp	8.785
NM_001032012	CG10096	3.897
NM_001032015	primo-1	5.207
NM_001032016	primo-1	4.023
NM_001032017	primo-2	4.023
NM_001032019	srp	0.976
NM_001032020	Prx5	5.642
NM_001032021	gukh	1.741
NM_001032032	how	2.013
NM_001032033	Myo95E	0.985
NM_001032035	Myo95E	1.517
NM_001032036	Myo95E	0.976
NM_001032037	Myo95E	1.511
NM_001032039	CG33095	2.270
NM_001032040	CG11891	8.008
NM_001032044	CG33635	2.407
NM_001032048	GlyP	5.142
NM_001032049	l(2)s5379	5.305
NM_001032050	CG9960	3.491
NM_001032054	Pp2A-29B	5.743
NM_001032055	Pp2A-29B	5.731
NM_001032056	Pp2A-29B	5.758
NM_001032059	mus201	0.022
NM_001032060	mus201	0.421
NM_001032061	mus201	-0.035
NM_001032062	CG9515	5.098
NM_001032063	CG9510	5.773
NM_001032065	CG17768	2.620
NM_001032066	LSm-4	2.620
NM_001032073	Nos	0.430
NM_001032076	cana	2.723
NM_001032077	CG33695	0.879
NM_001032078	CG33695	0.588
NM_001032079	CG33695	0.593
NM_001032081	CG33695	0.684
NM_001032091	DNApol-gamma35	2.660
NM_001032092	CG33649	2.672
NM_001032095	Adh	7.630
NM_001032096	Adh	7.310
NM_001032097	Adh	6.603
NM_001032098	Adh	6.675
NM_001032099	Adh	7.596
NM_001032101	Adhr	6.603
NM_001032110	spi	3.884
NM_001032217	Df31	4.602
NM_001032223	CG33914	-1.656
NM_001032224	Spn43Ab	3.737
NM_001032225	CG33774	4.590
NM_001032229	lola	3.164
NM_001032231	CG18003	2.027
NM_001032232	CG11919	2.027
NM_001032236	Dyb	2.295
NM_001032237	Dyb	2.387
NM_001032241	CG33671	3.471
NM_001032242	CG33672	3.471
NM_001032244	seq	1.407
NM_001032246	CG33155	4.268
NM_001032247	CG33155	4.746
NM_001032248	CG33155	4.648
NM_001032249	Zasp52	3.061
NM_001032250	Zasp52	4.005
NM_001032251	CG10731	1.587
NM_001032268	sm	0.339
NM_001032269	sm	0.372
NM_001032270	CG13430	0.992
NM_001032271	CG13430	1.110
NM_001032272	CG33785	2.162
NM_001032273	CG33786	2.162
NM_001032401	cp309	1.856
NM_001032402	cp309	0.875
NM_001032403	Neu3	2.352
NM_001032404	Neu3	1.743
NM_001032405	kay	4.134
NM_001032406	kay	4.686
NM_001032407	kay	4.482
NM_001032408	kay	4.439
NM_001038712	CG33978	-0.089
NM_001038713	RhoGAP102A	-0.430
NM_001038714	PMCA	4.537
NM_001038716	CG17471	4.547
NM_001038717	CG17471	4.481
NM_001038718	Mitf	4.446
NM_001038719	Mitf	4.095
NM_001038721	Dyrk3	2.833
NM_001038723	Dyrk3	2.857
NM_001038725	Dyrk3	2.638
NM_001038726	tyn	-1.497
NM_001038727	CG4293	1.547
NM_001038728	CG4293	1.789
NM_001038729	skpA	5.754
NM_001038731	pck	2.562
NM_001038732	Adar	1.280
NM_001038733	CG32803	2.307
NM_001038736	CG3091	6.843
NM_001038738	z	1.850
NM_001038739	mit(1)15	2.363
NM_001038746	sdt	0.389
NM_001038747	sdt	1.375
NM_001038750	CG34026	8.525
NM_001038752	Yippee	4.333
NM_001038753	CG11103	2.706
NM_001038755	CG14408	0.827
NM_001038756	drd	2.748
NM_001038757	Grip128	-0.035
NM_001038758	disco	-0.337
NM_001038759	CG34015	3.461
NM_001038760	Axs	1.197
NM_001038763	CG8188	2.455
NM_001038765	tgy	3.373
NM_001038766	CG32529	1.459
NM_001038770	Cp110	0.229
NM_001038771	fog	1.565
NM_001038772	CG4822	1.820
NM_001038773	CG4822	1.783
NM_001038774	CG4822	1.881
NM_001038775	CG4822	1.957
NM_001038776	CG3164	6.981
NM_001038778	CG3662	7.019
NM_001038780	capt	6.507
NM_001038781	capt	5.847
NM_001038784	Jon25Bi	9.676
NM_001038785	CG31919	4.381
NM_001038786	CG33995	4.409
NM_001038787	CG33995	4.381
NM_001038788	CG33995	4.399
NM_001038793	CG7224	2.332
NM_001038795	mon2	3.423
NM_001038796	RpS13	9.822
NM_001038802	RpL13	9.544
NM_001038810	porin	6.783
NM_001038811	CG14946	0.989
NM_001038812	vir-1	3.217
NM_001038814	loqs	2.108
NM_001038817	smi35A	2.133
NM_001038818	smi35A	2.132
NM_001038821	yuri	1.035
NM_001038822	yuri	1.758
NM_001038823	yuri	1.266
NM_001038824	Pax	4.927
NM_001038825	CG10462	3.093
NM_001038826	CG10462	3.002
NM_001038842	CG2201	3.178
NM_001038843	CG2201	3.407
NM_001038847	Gapdh1	6.755
NM_001038849	RanBPM	4.289
NM_001038850	CG9027	3.133
NM_001038852	CG33964	1.975
NM_001038854	NAT1	5.020
NM_001038855	cnn	0.507
NM_001038856	Ih	1.052
NM_001038857	Ih	2.360
NM_001038858	Ih	1.331
NM_001038859	Ih	1.323
NM_001038865	CG33981	3.201
NM_001038866	CG33981	3.126
NM_001038868	CG34005	3.553
NM_001038872	CG34045	1.893
NM_001038874	CG34040	0.726
NM_001038877	CG13516	2.245
NM_001038882	CG4622	1.097
NM_001038884	Atf-2	1.383
NM_001038885	Tina-1	5.866
NM_001038890	CG34056	1.422
NM_001038894	CG33965	4.274
NM_001038895	CG33966	6.070
NM_001038900	CG11583	2.963
NM_001038908	CG33205	5.046
NM_001038909	CG33205	4.951
NM_001038913	CG10973	2.802
NM_001038916	Spt20	-0.216
NM_001038917	nuf	3.066
NM_001038918	nuf	3.249
NM_001038919	nuf	3.022
NM_001038920	nuf	2.823
NM_001038921	nuf	3.166
NM_001038922	nuf	2.539
NM_001038923	CG34039	2.445
NM_001038924	Trl	2.053
NM_001038925	Trl	3.165
NM_001038926	Trl	2.523
NM_001038927	CG7255	3.976
NM_001038938	CG33258	5.933
NM_001038944	Deaf1	2.134
NM_001038945	CG33969	2.693
NM_001038946	CG33969	2.633
NM_001038952	Glut4EF	1.045
NM_001038953	GstD1	7.913
NM_001038962	CG33977	4.507
NM_001038966	kibra	1.223
NM_001038968	mtSSB	3.704
NM_001038969	ema	2.924
NM_001038976	hh	2.096
NM_001038977	Saf-B	3.419
NM_001038981	CG33970	4.227
NM_001038982	CG33970	4.082
NM_001038984	CG12877	1.747
NM_001038986	Pglym78	6.385
NM_001038987	Pglym78	6.374
NM_001042788	vnd	4.496
NM_001042789	CG13366	2.567
NM_001042791	CG42259	2.628
NM_001042793	phl	1.971
NM_001042794	sgg	3.271
NM_001042796	rg	1.799
NM_001042797	CG12541	1.781
NM_001042798	sdt	1.446
NM_001042800	CG32699	4.002
NM_001042801	CG34104	-0.171
NM_001042802	CG34104	-0.633
NM_001042803	Imp	0.117
NM_001042804	Myo10A	-0.662
NM_001042811	Lsd-2	6.632
NM_001042812	Lsd-2	6.479
NM_001042813	shi	3.442
NM_001042814	shi	3.450
NM_001042817	RhoGAP15B	3.306
NM_001042818	baz	1.335
NM_001042822	CG34120	2.385
NM_001042846	CG40486	3.255
NM_001042847	CG40486	3.749
NM_001042851	stnA	-2.334
NM_001042852	stnA	-2.316
NM_001042853	stnB	-2.294
NM_001042854	stnB	-2.316
NM_001042855	FucTC	2.141
NM_001042856	Rab21	3.372
NM_001042857	Rab21	3.175
NM_001042858	CG13865	4.167
NM_001042859	CG13865	3.475
NM_001042862	CG7337	2.515
NM_001042863	CG7337	3.008
NM_001042864	toc	1.719
NM_001042867	jet	2.471
NM_001042869	CG34125	3.225
NM_001042870	CG34126	2.118
NM_001042873	pgant5	3.232
NM_001042876	homer	2.886
NM_001042877	Mnn1	1.466
NM_001042878	CG13784	5.099
NM_001042879	CG34132	3.685
NM_001042881	CG8486	-0.253
NM_001042884	CG32982	2.777
NM_001042885	CG5850	2.509
NM_001042886	CG34109	2.205
NM_001042888	l(2)06225	7.391
NM_001042889	l(2)06225	6.865
NM_001042891	bru-2	3.933
NM_001042892	bun	4.431
NM_001042893	bun	5.333
NM_001042894	bun	4.182
NM_001042895	CG31731	3.730
NM_001042897	mol	0.023
NM_001042898	mol	0.308
NM_001042899	mol	0.345
NM_001042901	CLIP-190	4.292
NM_001042902	CLIP-190	4.244
NM_001042909	CG31619	0.098
NM_001042910	step	2.452
NM_001042922	RpL5	10.594
NM_001042923	RpL5	10.681
NM_001042927	CG17490	0.249
NM_001042928	CG17490	0.192
NM_001042929	CG17490	1.591
NM_001042930	CG17490	1.878
NM_001042931	CG17493	4.499
NM_001042932	CG17494	3.119
NM_001042934	CG17494	3.103
NM_001042938	CG40439	4.243
NM_001042939	CG40439	4.181
NM_001042942	CG17715	3.022
NM_001042943	CG17715	1.877
NM_001042944	CG17715	3.129
NM_001042945	CG17715	1.596
NM_001042946	CG17715	3.305
NM_001042947	CG17715	3.209
NM_001042950	lt	3.152
NM_001042951	lt	3.200
NM_001042952	lt	3.195
NM_001042956	cta	1.679
NM_001042959	Spf45	3.748
NM_001042960	Spf45	3.654
NM_001042961	Spf45	3.723
NM_001042962	CG17683	4.635
NM_001042963	CG17683	4.753
NM_001042964	CG17683	4.241
NM_001042965	CG17683	4.638
NM_001042968	CG40127	8.178
NM_001042972	IntS3	3.007
NM_001042973	Gprk1	3.117
NM_001042975	RpL38	9.593
NM_001042977	Stlk	3.079
NM_001042979	p120ctn	2.927
NM_001042981	CG17486	3.587
NM_001042983	CG17883	4.243
NM_001042984	CG17883	4.127
NM_001042986	Nipped-B	2.593
NM_001042987	Nipped-B	2.588
NM_001042989	CG17082	3.577
NM_001042990	CG17082	3.620
NM_001042991	CG17082	3.677
NM_001042992	CG17082	3.628
NM_001042993	CG17082	3.493
NM_001042995	CG12547	3.225
NM_001042997	CG17528	2.176
NM_001042998	CG17528	2.989
NM_001043001	CG14464	4.082
NM_001043005	CG3107	3.944
NM_001043009	l(2)01289	2.107
NM_001043010	l(2)01289	1.994
NM_001043011	Dscam	1.138
NM_001043012	Dscam	1.142
NM_001043013	Dscam	1.143
NM_001043014	Dscam	1.147
NM_001043015	Dscam	1.149
NM_001043016	Dscam	1.140
NM_001043017	Dscam	1.133
NM_001043018	Dscam	1.147
NM_001043019	Dscam	1.137
NM_001043020	Dscam	1.165
NM_001043021	Dscam	1.146
NM_001043022	Dscam	1.150
NM_001043023	Dscam	1.145
NM_001043024	Dscam	1.137
NM_001043025	Dscam	1.132
NM_001043026	Dscam	1.134
NM_001043027	Dscam	1.135
NM_001043028	Dscam	1.150
NM_001043029	Dscam	1.142
NM_001043030	Dscam	1.136
NM_001043032	Dscam	1.149
NM_001043033	Dscam	1.146
NM_001043034	Dscam	1.134
NM_001043035	Dscam	1.134
NM_001043036	Dscam	1.149
NM_001043037	Dscam	1.148
NM_001043038	Dscam	1.131
NM_001043039	Dscam	1.133
NM_001043040	Dscam	1.135
NM_001043041	Dscam	1.136
NM_001043044	Dscam	1.158
NM_001043045	Dscam	1.134
NM_001043047	Dscam	1.152
NM_001043048	Dscam	1.156
NM_001043049	Dscam	1.140
NM_001043050	Dscam	1.136
NM_001043051	Dscam	1.147
NM_001043052	Dscam	1.150
NM_001043053	Dscam	1.142
NM_001043055	Dscam	1.146
NM_001043056	Dscam	1.147
NM_001043057	Dscam	1.167
NM_001043058	Dscam	1.151
NM_001043059	Dscam	1.136
NM_001043060	Dscam	1.138
NM_001043061	Dscam	1.154
NM_001043062	Dscam	1.142
NM_001043063	Dscam	1.146
NM_001043064	Dscam	1.156
NM_001043068	CG8170	1.791
NM_001043069	CG34141	-0.439
NM_001043071	CG9027	5.208
NM_001043076	aPKC	4.050
NM_001043077	aPKC	3.582
NM_001043078	aPKC	4.213
NM_001043079	aPKC	4.058
NM_001043080	aPKC	3.427
NM_001043082	chn	-1.119
NM_001043083	trpm	2.315
NM_001043084	trpm	2.715
NM_001043085	trpm	2.425
NM_001043086	Zasp52	3.866
NM_001043087	mRpL34	3.482
NM_001043088	Spn53F	1.408
NM_001043090	Hsf	2.947
NM_001043091	Hsf	3.023
NM_001043092	Hsf	2.978
NM_001043095	Mctp	1.544
NM_001043097	hrg	3.078
NM_001043098	otp	0.062
NM_001043100	CG15661	0.915
NM_001043103	yki	3.810
NM_001043106	CG9380	7.029
NM_001043107	Mkp	3.569
NM_001043108	Mkp	3.629
NM_001043109	CG34140	3.569
NM_001043111	klar	3.924
NM_001043112	zormin	2.406
NM_001043113	zormin	2.153
NM_001043114	zormin	2.569
NM_001043116	Eip63E	2.590
NM_001043117	Eip63E	2.728
NM_001043118	Eip63E	2.602
NM_001043119	Eip63E	2.672
NM_001043120	Eip63E	2.598
NM_001043121	Eip63E	1.834
NM_001043122	BG642312	2.555
NM_001043128	Snmp2	2.914
NM_001043129	Ect4	5.515
NM_001043132	CG3689	3.747
NM_001043135	CG5946	5.110
NM_001043136	CG5946	5.328
NM_001043139	caps	3.682
NM_001043140	CG33260	0.600
NM_001043141	CG17839	2.511
NM_001043142	CG7255	4.111
NM_001043143	CG7255	3.607
NM_001043151	CG34116	0.491
NM_001043152	Papss	2.398
NM_001043153	siz	3.107
NM_001043154	mub	2.541
NM_001043156	nrm	1.856
NM_001043167	CG17698	2.125
NM_001043168	CG17698	1.962
NM_001043169	CG17698	2.072
NM_001043175	CG40045	5.626
NM_001043186	mRpS5	4.091
NM_001043187	mRpS5	5.266
NM_001043188	mRpS5	5.285
NM_001043195	CG1103	1.324
NM_001043199	CG34112	4.236
NM_001043211	Cdep	4.168
NM_001043213	l(3)82Fd	4.893
NM_001043214	l(3)82Fd	5.021
NM_001043218	CG42724	2.351
NM_001043219	CG1041	4.220
NM_001043221	mtg	0.444
NM_001043222	Poxm	6.799
NM_001043223	CG34135	1.218
NM_001043224	CG34135	0.272
NM_001043225	CG34117	3.637
NM_001043226	ps	4.275
NM_001043227	ps	3.921
NM_001043230	ps	4.038
NM_001043232	ps	4.205
NM_001043234	Whamy	5.557
NM_001043235	CG12814	2.937
NM_001043241	CG42327	2.596
NM_001043243	l(3)neo38	1.775
NM_001043244	l(3)neo38	1.419
NM_001043247	tefu	-0.572
NM_001043250	Mhcl	2.111
NM_001043251	Mhcl	2.116
NM_001043252	CG10405	2.712
NM_001043255	Dhfr	3.451
NM_001043256	Dys	3.017
NM_001043257	Dys	2.436
NM_001043258	Dys	2.243
NM_001043259	Dys	2.584
NM_001043260	Dys	3.040
NM_001043261	Dys	2.522
NM_001043262	Dys	3.567
NM_001043263	Dys	2.276
NM_001043268	GluRIIE	0.136
NM_001043269	CG17271	5.653
NM_001043271	SNF4Agamma	5.201
NM_001043272	SNF4Agamma	4.716
NM_001043273	SNF4Agamma	4.485
NM_001043274	SNF4Agamma	5.025
NM_001043275	CG7956	1.390
NM_001043277	SKIP	-0.684
NM_001043279	muted	4.484
NM_001043281	wge	2.126
NM_001043286	crb	2.107
NM_001043287	CG13624	2.457
NM_001043288	CG13624	2.412
NM_001043289	mld	-0.309
NM_001043290	mld	-0.303
NM_001043291	CG34150	3.311
NM_001043296	scrib	4.037
NM_001043298	Doa	2.861
NM_001043299	Doa	3.795
NM_001043300	Doa	3.647
NM_001043301	Cnx99A	5.808
NM_001043302	Cnx99A	5.818
NM_001043307	CG34133	2.378
NM_001043308	CG34133	2.393
NM_001043309	CG42558	3.089
NM_001103379	CG32000	4.017
NM_001103382	eIF4G	5.251
NM_001103385	RhoGAP1A	4.652
NM_001103386	RhoGAP1A	4.665
NM_001103389	fz3	1.731
NM_001103392	CG3655	2.314
NM_001103394	futsch	-5.124
NM_001103398	boi	-2.144
NM_001103399	trol	2.771
NM_001103400	sgg	3.127
NM_001103403	tlk	1.572
NM_001103407	ec	-1.357
NM_001103410	CG4068	-0.312
NM_001103411	CG4068	-0.366
NM_001103412	CG4068	-0.323
NM_001103413	Rnp4F	2.712
NM_001103414	Rnp4F	2.828
NM_001103419	Ca-alpha1T	-0.612
NM_001103422	CG34417	3.949
NM_001103423	CG34417	3.528
NM_001103425	CG34417	3.541
NM_001103426	CG34417	2.742
NM_001103427	pod1	2.721
NM_001103435	Trf2	-0.186
NM_001103436	CG1440	4.002
NM_001103437	CG1440	3.962
NM_001103438	CG33181	4.862
NM_001103440	CG33181	4.662
NM_001103441	CG33181	4.448
NM_001103442	CG33181	4.496
NM_001103443	Trf4-1	1.695
NM_001103444	Trf4-1	0.919
NM_001103448	AP-1gamma	3.913
NM_001103451	CG34449	1.759
NM_001103452	CG34449	1.945
NM_001103454	Megalin	-0.015
NM_001103456	Megalin	0.084
NM_001103466	CG15309	2.744
NM_001103468	CG34408	2.637
NM_001103471	spri	0.349
NM_001103474	spri	0.506
NM_001103475	CG15211	4.923
NM_001103476	CG15211	4.936
NM_001103477	CG15211	4.875
NM_001103480	Kap3	1.729
NM_001103481	Kap3	1.763
NM_001103482	Kap3	1.742
NM_001103483	Kap3	1.758
NM_001103484	CG34348	2.497
NM_001103485	dlg1	2.256
NM_001103486	dlg1	2.118
NM_001103493	Sec16	3.168
NM_001103494	Sec16	2.422
NM_001103496	CG34411	0.094
NM_001103497	sno	0.601
NM_001103498	sno	0.483
NM_001103499	IP3K2	2.880
NM_001103502	CG34324	11.301
NM_001103503	Tango13	1.959
NM_001103504	NFAT	0.402
NM_001103507	CG10990	4.459
NM_001103510	l(1)G0469	2.881
NM_001103513	rab3-GEF	-1.449
NM_001103517	CG17209	2.275
NM_001103518	CG32581	3.636
NM_001103519	sd	2.876
NM_001103520	sd	2.959
NM_001103521	sd	3.069
NM_001103522	sd	2.993
NM_001103523	Chc	5.421
NM_001103524	Chc	5.446
NM_001103526	CG3632	2.962
NM_001103527	CG3632	2.926
NM_001103528	CG3632	2.930
NM_001103529	CG3632	2.923
NM_001103530	CG9915	2.884
NM_001103531	Arp14D	5.485
NM_001103532	Nup153	1.950
NM_001103533	CG34325	4.041
NM_001103534	CG4829	2.290
NM_001103535	CG4829	2.301
NM_001103536	CG13004	2.115
NM_001103538	CG8949	2.139
NM_001103539	Arpc3B	5.619
NM_001103542	CG42684	2.502
NM_001103544	upd3	-2.335
NM_001103546	CrebB-17A	3.153
NM_001103547	CrebB-17A	2.436
NM_001103548	CrebB-17A	2.352
NM_001103557	CG7378	3.108
NM_001103558	CG34329	10.661
NM_001103559	CG34330	9.350
NM_001103560	vav	1.498
NM_001103570	Ntf-2	2.885
NM_001103571	l(1)G0196	3.800
NM_001103576	CG3625	5.893
NM_001103577	Ets21C	0.038
NM_001103580	CG7337	2.901
NM_001103581	CG7337	2.992
NM_001103582	CG4238	0.460
NM_001103583	CG4238	0.411
NM_001103587	CG34174	1.657
NM_001103588	CG15387	2.333
NM_001103594	toc	2.334
NM_001103598	CG34394	4.023
NM_001103599	CG34394	4.141
NM_001103601	CG34394	4.045
NM_001103604	CG12795	2.620
NM_001103606	CG34176	8.296
NM_001103607	CG3714	2.581
NM_001103608	Atet	1.915
NM_001103609	Atet	2.118
