transcript_name	Gene_name	RAL-229-Challenged
NM_001032060	mus201	1.618
NM_001032061	mus201	1.425
NM_001032062	CG9515	4.056
NM_001032063	CG9510	4.762
NM_001032065	CG17768	3.497
NM_001032066	LSm-4	3.497
NM_001032073	Nos	0.117
NM_001032076	cana	2.522
NM_001032077	CG33695	1.888
NM_001032078	CG33695	1.694
NM_001032079	CG33695	1.696
NM_001032081	CG33695	1.701
NM_001032091	DNApol-gamma35	3.005
NM_001032092	CG33649	3.010
NM_001032095	Adh	7.930
NM_001032096	Adh	7.614
NM_001032097	Adh	6.916
NM_001032098	Adh	6.979
NM_001032099	Adh	7.905
NM_001032101	Adhr	6.916
NM_001032110	spi	3.449
NM_001032217	Df31	4.056
NM_001032223	CG33914	2.050
NM_001032224	Spn43Ab	4.047
NM_001032225	CG33774	4.000
NM_001032229	lola	3.404
NM_001032231	CG18003	1.949
NM_001032232	CG11919	1.949
NM_001032236	Dyb	2.257
NM_001032237	Dyb	2.308
NM_001032241	CG33671	2.930
NM_001032242	CG33672	2.930
NM_001032244	seq	-0.070
NM_001032246	CG33155	4.147
NM_001032247	CG33155	4.706
NM_001032248	CG33155	4.538
NM_001032249	Zasp52	3.497
NM_001032250	Zasp52	4.501
NM_001032251	CG10731	1.494
NM_001032268	sm	0.229
NM_001032269	sm	0.212
NM_001032270	CG13430	2.268
NM_001032271	CG13430	2.367
NM_001032272	CG33785	2.097
NM_001032273	CG33786	2.097
NM_001032401	cp309	2.074
NM_001032402	cp309	0.993
NM_001032403	Neu3	3.371
NM_001032404	Neu3	2.456
NM_001032405	kay	7.241
NM_001032406	kay	7.912
NM_001032407	kay	7.595
NM_001032408	kay	7.644
NM_001038712	CG33978	-0.596
NM_001038713	RhoGAP102A	-1.260
NM_001038714	PMCA	4.151
NM_001038716	CG17471	4.633
NM_001038717	CG17471	4.622
NM_001038718	Mitf	4.332
NM_001038719	Mitf	3.994
NM_001038721	Dyrk3	3.504
NM_001038723	Dyrk3	3.529
NM_001038725	Dyrk3	3.297
NM_001038726	tyn	0.039
NM_001038727	CG4293	1.335
NM_001038728	CG4293	1.593
NM_001038729	skpA	6.449
NM_001038731	pck	2.601
NM_001038732	Adar	1.328
NM_001038733	CG32803	2.196
NM_001038736	CG3091	5.851
NM_001038738	z	3.031
NM_001038739	mit(1)15	2.141
NM_001038746	sdt	2.892
NM_001038747	sdt	3.879
NM_001038750	CG34026	6.753
NM_001038752	Yippee	4.161
NM_001038753	CG11103	2.825
NM_001038755	CG14408	2.001
NM_001038756	drd	3.663
NM_001038757	Grip128	0.089
NM_001038758	disco	-0.340
NM_001038759	CG34015	3.433
NM_001038760	Axs	1.537
NM_001038763	CG8188	3.213
NM_001038765	tgy	4.072
NM_001038766	CG32529	2.777
NM_001038770	Cp110	-0.353
NM_001038771	fog	-0.098
NM_001038772	CG4822	0.127
NM_001038773	CG4822	0.069
NM_001038774	CG4822	0.184
NM_001038775	CG4822	0.212
NM_001038776	CG3164	7.037
NM_001038778	CG3662	5.364
NM_001038780	capt	7.281
NM_001038781	capt	6.653
NM_001038784	Jon25Bi	9.293
NM_001038785	CG31919	5.053
NM_001038786	CG33995	5.076
NM_001038787	CG33995	5.053
NM_001038788	CG33995	5.072
NM_001038793	CG7224	2.600
NM_001038795	mon2	3.388
NM_001038796	RpS13	8.782
NM_001038802	RpL13	8.286
NM_001038810	porin	6.833
NM_001038811	CG14946	1.048
NM_001038812	vir-1	4.386
NM_001038814	loqs	2.623
NM_001038817	smi35A	2.477
NM_001038818	smi35A	2.478
NM_001038821	yuri	1.879
NM_001038822	yuri	2.349
NM_001038823	yuri	1.956
NM_001038824	Pax	5.064
NM_001038825	CG10462	3.551
NM_001038826	CG10462	3.456
NM_001038842	CG2201	4.969
NM_001038843	CG2201	5.169
NM_001038847	Gapdh1	6.856
NM_001038849	RanBPM	4.129
NM_001038850	CG9027	2.644
NM_001038852	CG33964	4.921
NM_001038854	NAT1	5.397
NM_001038855	cnn	1.311
NM_001038856	Ih	0.319
NM_001038857	Ih	1.720
NM_001038858	Ih	0.723
NM_001038859	Ih	0.697
NM_001038865	CG33981	2.765
NM_001038866	CG33981	2.781
NM_001038868	CG34005	4.078
NM_001038872	CG34045	2.702
NM_001038874	CG34040	6.610
NM_001038877	CG13516	3.203
NM_001038882	CG4622	2.549
NM_001038884	Atf-2	2.119
NM_001038885	Tina-1	5.020
NM_001038890	CG34056	1.051
NM_001038894	CG33965	2.716
NM_001038895	CG33966	3.983
NM_001038900	CG11583	3.274
NM_001038908	CG33205	4.984
NM_001038909	CG33205	4.846
NM_001038913	CG10973	3.926
NM_001038916	Spt20	-0.432
NM_001038917	nuf	3.536
NM_001038918	nuf	3.819
NM_001038919	nuf	3.489
NM_001038920	nuf	3.297
NM_001038921	nuf	3.695
NM_001038922	nuf	2.830
NM_001038923	CG34039	2.581
NM_001038924	Trl	2.197
NM_001038925	Trl	3.296
NM_001038926	Trl	2.691
NM_001038927	CG7255	4.023
NM_001038938	CG33258	4.587
NM_001038944	Deaf1	2.705
NM_001038945	CG33969	2.686
NM_001038946	CG33969	2.656
NM_001038952	Glut4EF	3.389
NM_001038953	GstD1	9.654
NM_001038962	CG33977	4.552
NM_001038966	kibra	1.479
NM_001038968	mtSSB	4.008
NM_001038969	ema	2.802
NM_001038976	hh	4.264
NM_001038977	Saf-B	3.456
NM_001038981	CG33970	4.701
NM_001038982	CG33970	4.473
NM_001038984	CG12877	2.306
NM_001038986	Pglym78	6.223
NM_001038987	Pglym78	6.219
NM_001042788	vnd	3.935
NM_001042789	CG13366	3.069
NM_001042791	CG42259	1.357
NM_001042793	phl	2.885
NM_001042794	sgg	3.667
NM_001042796	rg	1.790
NM_001042797	CG12541	0.277
NM_001042798	sdt	3.933
NM_001042800	CG32699	3.886
NM_001042801	CG34104	2.328
NM_001042802	CG34104	1.758
NM_001042803	Imp	0.270
NM_001042804	Myo10A	-0.961
NM_001042811	Lsd-2	5.823
NM_001042812	Lsd-2	5.656
NM_001042813	shi	4.003
NM_001042814	shi	4.010
NM_001042817	RhoGAP15B	4.381
NM_001042818	baz	2.392
NM_001042822	CG34120	2.808
NM_001042846	CG40486	3.812
NM_001042847	CG40486	4.304
NM_001042851	stnA	-1.810
NM_001042852	stnA	-1.832
NM_001042853	stnB	-1.810
NM_001042854	stnB	-1.832
NM_001042855	FucTC	3.611
NM_001042856	Rab21	5.232
NM_001042857	Rab21	5.048
NM_001042858	CG13865	4.496
NM_001042859	CG13865	4.007
NM_001042862	CG7337	2.829
NM_001042863	CG7337	3.326
NM_001042864	toc	1.670
NM_001042867	jet	1.908
NM_001042869	CG34125	3.716
NM_001042870	CG34126	2.374
NM_001042873	pgant5	3.064
NM_001042876	homer	2.605
NM_001042877	Mnn1	1.016
NM_001042878	CG13784	4.015
NM_001042879	CG34132	4.044
NM_001042881	CG8486	-0.396
NM_001042884	CG32982	5.509
NM_001042885	CG5850	2.544
NM_001042886	CG34109	2.769
NM_001042888	l(2)06225	6.804
NM_001042889	l(2)06225	6.293
NM_001042891	bru-2	4.569
NM_001042892	bun	4.205
NM_001042893	bun	5.060
NM_001042894	bun	3.960
NM_001042895	CG31731	2.180
NM_001042897	mol	-0.851
NM_001042898	mol	-0.578
NM_001042899	mol	-0.547
NM_001042901	CLIP-190	5.066
NM_001042902	CLIP-190	4.985
NM_001042909	CG31619	-0.439
NM_001042910	step	3.760
NM_001042922	RpL5	9.890
NM_001042923	RpL5	9.974
NM_001042927	CG17490	1.199
NM_001042928	CG17490	1.130
NM_001042929	CG17490	2.057
NM_001042930	CG17490	2.536
NM_001042931	CG17493	3.349
NM_001042932	CG17494	2.988
NM_001042934	CG17494	2.968
NM_001042938	CG40439	5.310
NM_001042939	CG40439	5.184
NM_001042942	CG17715	3.587
NM_001042943	CG17715	2.220
NM_001042944	CG17715	3.649
NM_001042945	CG17715	1.978
NM_001042946	CG17715	3.709
NM_001042947	CG17715	3.621
NM_001042950	lt	3.603
NM_001042951	lt	3.660
NM_001042952	lt	3.678
NM_001042956	cta	1.909
NM_001042959	Spf45	4.620
NM_001042960	Spf45	4.545
NM_001042961	Spf45	4.571
NM_001042962	CG17683	4.681
NM_001042963	CG17683	4.806
NM_001042964	CG17683	4.301
NM_001042965	CG17683	4.689
NM_001042968	CG40127	7.658
NM_001042972	IntS3	3.411
NM_001042973	Gprk1	3.320
NM_001042975	RpL38	8.911
NM_001042977	Stlk	3.230
NM_001042979	p120ctn	3.432
NM_001042981	CG17486	4.424
NM_001042983	CG17883	4.451
NM_001042984	CG17883	4.304
NM_001042986	Nipped-B	2.739
NM_001042987	Nipped-B	2.734
NM_001042989	CG17082	3.955
NM_001042990	CG17082	3.997
NM_001042991	CG17082	4.056
NM_001042992	CG17082	4.008
NM_001042993	CG17082	3.885
NM_001042995	CG12547	4.682
NM_001042997	CG17528	3.519
NM_001042998	CG17528	4.325
NM_001043001	CG14464	4.285
NM_001043005	CG3107	3.519
NM_001043009	l(2)01289	1.317
NM_001043010	l(2)01289	1.220
NM_001043011	Dscam	-0.652
NM_001043012	Dscam	-0.665
NM_001043013	Dscam	-0.657
NM_001043014	Dscam	-0.634
NM_001043015	Dscam	-0.636
NM_001043016	Dscam	-0.665
NM_001043017	Dscam	-0.666
NM_001043018	Dscam	-0.634
NM_001043019	Dscam	-0.666
NM_001043020	Dscam	-0.629
NM_001043021	Dscam	-0.635
NM_001043022	Dscam	-0.635
NM_001043023	Dscam	-0.637
NM_001043024	Dscam	-0.657
NM_001043025	Dscam	-0.660
NM_001043026	Dscam	-0.667
NM_001043027	Dscam	-0.666
NM_001043028	Dscam	-0.597
NM_001043029	Dscam	-0.665
NM_001043030	Dscam	-0.628
NM_001043032	Dscam	-0.635
NM_001043033	Dscam	-0.665
NM_001043034	Dscam	-0.660
NM_001043035	Dscam	-0.665
NM_001043036	Dscam	-0.634
NM_001043037	Dscam	-0.635
NM_001043038	Dscam	-0.668
NM_001043039	Dscam	-0.666
NM_001043040	Dscam	-0.664
NM_001043041	Dscam	-0.665
NM_001043044	Dscam	-0.635
NM_001043045	Dscam	-0.665
NM_001043047	Dscam	-0.635
NM_001043048	Dscam	-0.634
NM_001043049	Dscam	-0.665
NM_001043050	Dscam	-0.665
NM_001043051	Dscam	-0.638
NM_001043052	Dscam	-0.635
NM_001043053	Dscam	-0.665
NM_001043055	Dscam	-0.665
NM_001043056	Dscam	-0.636
NM_001043057	Dscam	-0.635
NM_001043058	Dscam	-0.634
NM_001043059	Dscam	-0.665
NM_001043060	Dscam	-0.665
NM_001043061	Dscam	-0.635
NM_001043062	Dscam	-0.665
NM_001043063	Dscam	-0.635
NM_001043064	Dscam	-0.634
NM_001043068	CG8170	1.377
NM_001043069	CG34141	-0.542
NM_001043071	CG9027	4.681
NM_001043076	aPKC	4.861
NM_001043077	aPKC	4.405
NM_001043078	aPKC	5.045
NM_001043079	aPKC	4.878
NM_001043080	aPKC	4.224
NM_001043082	chn	-0.140
NM_001043083	trpm	2.360
NM_001043084	trpm	3.017
NM_001043085	trpm	2.491
NM_001043086	Zasp52	4.411
NM_001043087	mRpL34	3.635
NM_001043088	Spn53F	1.636
NM_001043090	Hsf	4.388
NM_001043091	Hsf	4.465
NM_001043092	Hsf	4.488
NM_001043095	Mctp	2.318
NM_001043097	hrg	3.188
NM_001043098	otp	0.090
NM_001043100	CG15661	1.645
NM_001043103	yki	4.609
NM_001043106	CG9380	5.697
NM_001043107	Mkp	3.491
NM_001043108	Mkp	3.613
NM_001043109	CG34140	3.493
NM_001043111	klar	4.007
NM_001043112	zormin	1.789
NM_001043113	zormin	1.319
NM_001043114	zormin	1.896
NM_001043116	Eip63E	4.221
NM_001043117	Eip63E	4.292
NM_001043118	Eip63E	4.136
NM_001043119	Eip63E	4.231
NM_001043120	Eip63E	4.123
NM_001043121	Eip63E	3.438
NM_001043122	BG642312	2.996
NM_001043128	Snmp2	3.841
NM_001043129	Ect4	5.278
NM_001043132	CG3689	4.577
NM_001043135	CG5946	4.479
NM_001043136	CG5946	4.666
NM_001043139	caps	3.563
NM_001043140	CG33260	2.028
NM_001043141	CG17839	1.076
NM_001043142	CG7255	4.154
NM_001043143	CG7255	3.421
NM_001043151	CG34116	2.959
NM_001043152	Papss	4.112
NM_001043153	siz	4.168
NM_001043154	mub	2.587
NM_001043156	nrm	0.916
NM_001043167	CG17698	2.803
NM_001043168	CG17698	2.566
NM_001043169	CG17698	2.676
NM_001043175	CG40045	6.245
NM_001043186	mRpS5	4.087
NM_001043187	mRpS5	6.022
NM_001043188	mRpS5	6.039
NM_001043195	CG1103	1.858
NM_001043199	CG34112	4.074
NM_001043211	Cdep	4.181
NM_001043213	l(3)82Fd	4.848
NM_001043214	l(3)82Fd	5.069
NM_001043218	CG42724	2.731
NM_001043219	CG1041	3.332
NM_001043221	mtg	2.142
NM_001043222	Poxm	3.570
NM_001043223	CG34135	1.983
NM_001043224	CG34135	0.926
NM_001043225	CG34117	3.147
NM_001043226	ps	3.783
NM_001043227	ps	3.519
NM_001043230	ps	3.633
NM_001043232	ps	3.714
NM_001043234	Whamy	6.679
NM_001043235	CG12814	2.537
NM_001043241	CG42327	4.073
NM_001043243	l(3)neo38	1.325
NM_001043244	l(3)neo38	0.535
NM_001043247	tefu	-1.296
NM_001043250	Mhcl	1.939
NM_001043251	Mhcl	1.879
NM_001043252	CG10405	3.929
NM_001043255	Dhfr	2.351
NM_001043256	Dys	2.735
NM_001043257	Dys	2.172
NM_001043258	Dys	1.944
NM_001043259	Dys	2.322
NM_001043260	Dys	2.791
NM_001043261	Dys	2.265
NM_001043262	Dys	3.181
NM_001043263	Dys	2.019
NM_001043268	GluRIIE	-0.378
NM_001043269	CG17271	3.839
NM_001043271	SNF4Agamma	5.227
NM_001043272	SNF4Agamma	4.728
NM_001043273	SNF4Agamma	4.497
NM_001043274	SNF4Agamma	5.085
NM_001043275	CG7956	2.381
NM_001043277	SKIP	-2.028
NM_001043279	muted	4.761
NM_001043281	wge	2.655
NM_001043286	crb	2.821
NM_001043287	CG13624	3.479
NM_001043288	CG13624	3.429
NM_001043289	mld	-0.602
NM_001043290	mld	-0.578
NM_001043291	CG34150	3.347
NM_001043296	scrib	3.721
NM_001043298	Doa	3.611
NM_001043299	Doa	4.639
NM_001043300	Doa	4.343
NM_001043301	Cnx99A	4.714
NM_001043302	Cnx99A	4.652
NM_001043307	CG34133	4.208
NM_001043308	CG34133	4.211
NM_001043309	CG42558	3.684
NM_001103379	CG32000	3.823
NM_001103382	eIF4G	4.468
NM_001103385	RhoGAP1A	3.819
NM_001103386	RhoGAP1A	3.821
NM_001103389	fz3	1.472
NM_001103392	CG3655	2.391
NM_001103394	futsch	-1.496
NM_001103398	boi	-1.841
NM_001103399	trol	1.745
NM_001103400	sgg	3.542
NM_001103403	tlk	2.086
NM_001103407	ec	-1.179
NM_001103410	CG4068	2.567
NM_001103411	CG4068	2.489
NM_001103412	CG4068	2.520
NM_001103413	Rnp4F	2.853
NM_001103414	Rnp4F	2.962
NM_001103419	Ca-alpha1T	-1.722
NM_001103422	CG34417	3.822
NM_001103423	CG34417	3.093
NM_001103425	CG34417	3.098
NM_001103426	CG34417	2.270
NM_001103427	pod1	2.862
NM_001103435	Trf2	0.549
NM_001103436	CG1440	4.314
NM_001103437	CG1440	4.277
NM_001103438	CG33181	4.576
NM_001103440	CG33181	4.286
NM_001103441	CG33181	4.162
NM_001103442	CG33181	4.297
NM_001103443	Trf4-1	1.664
NM_001103444	Trf4-1	0.827
NM_001103448	AP-1gamma	4.403
NM_001103451	CG34449	2.692
NM_001103452	CG34449	2.676
NM_001103454	Megalin	-0.518
NM_001103456	Megalin	-1.416
NM_001103466	CG15309	0.955
NM_001103468	CG34408	2.133
NM_001103471	spri	0.283
NM_001103474	spri	1.090
NM_001103475	CG15211	7.189
NM_001103476	CG15211	7.197
NM_001103477	CG15211	7.147
NM_001103480	Kap3	2.145
NM_001103481	Kap3	2.180
NM_001103482	Kap3	2.160
NM_001103483	Kap3	2.181
NM_001103484	CG34348	2.932
NM_001103485	dlg1	2.023
NM_001103486	dlg1	1.873
NM_001103493	Sec16	2.368
NM_001103494	Sec16	1.380
NM_001103496	CG34411	0.420
NM_001103497	sno	1.184
NM_001103498	sno	1.068
NM_001103499	IP3K2	3.017
NM_001103502	CG34324	11.562
NM_001103503	Tango13	1.469
NM_001103504	NFAT	0.989
NM_001103507	CG10990	4.985
NM_001103510	l(1)G0469	3.296
NM_001103513	rab3-GEF	-0.738
NM_001103517	CG17209	3.738
NM_001103518	CG32581	3.389
NM_001103519	sd	3.724
NM_001103520	sd	3.813
NM_001103521	sd	3.932
NM_001103522	sd	3.849
NM_001103523	Chc	5.872
NM_001103524	Chc	5.898
NM_001103526	CG3632	3.478
NM_001103527	CG3632	3.445
NM_001103528	CG3632	3.446
NM_001103529	CG3632	3.442
NM_001103530	CG9915	3.327
NM_001103531	Arp14D	5.950
NM_001103532	Nup153	2.638
NM_001103533	CG34325	4.374
NM_001103534	CG4829	2.297
NM_001103535	CG4829	2.295
NM_001103536	CG13004	2.206
NM_001103538	CG8949	3.435
NM_001103539	Arpc3B	7.053
NM_001103542	CG42684	2.240
NM_001103544	upd3	4.705
NM_001103546	CrebB-17A	4.749
NM_001103547	CrebB-17A	4.073
NM_001103548	CrebB-17A	4.079
NM_001103557	CG7378	3.473
NM_001103558	CG34329	7.542
NM_001103559	CG34330	7.414
NM_001103560	vav	2.497
NM_001103570	Ntf-2	3.247
NM_001103571	l(1)G0196	2.601
NM_001103576	CG3625	5.327
NM_001103577	Ets21C	4.906
NM_001103580	CG7337	3.200
NM_001103581	CG7337	3.259
NM_001103582	CG4238	0.831
NM_001103583	CG4238	0.735
NM_001103587	CG34174	2.164
NM_001103588	CG15387	2.619
NM_001103594	toc	2.361
NM_001103598	CG34394	5.263
NM_001103599	CG34394	5.384
NM_001103601	CG34394	5.283
NM_001103604	CG12795	3.879
NM_001103606	CG34176	8.291
