transcript_name	Gene_name	RAL-802-Unchallenged
NM_001043028	Dscam	1.678
NM_001043029	Dscam	1.652
NM_001043030	Dscam	1.660
NM_001043032	Dscam	1.667
NM_001043033	Dscam	1.656
NM_001043034	Dscam	1.654
NM_001043035	Dscam	1.654
NM_001043036	Dscam	1.666
NM_001043037	Dscam	1.663
NM_001043038	Dscam	1.646
NM_001043039	Dscam	1.647
NM_001043040	Dscam	1.652
NM_001043041	Dscam	1.655
NM_001043044	Dscam	1.664
NM_001043045	Dscam	1.651
NM_001043047	Dscam	1.667
NM_001043048	Dscam	1.668
NM_001043049	Dscam	1.652
NM_001043050	Dscam	1.652
NM_001043051	Dscam	1.671
NM_001043052	Dscam	1.667
NM_001043053	Dscam	1.653
NM_001043055	Dscam	1.656
NM_001043056	Dscam	1.663
NM_001043057	Dscam	1.697
NM_001043058	Dscam	1.664
NM_001043059	Dscam	1.650
NM_001043060	Dscam	1.651
NM_001043061	Dscam	1.667
NM_001043062	Dscam	1.653
NM_001043063	Dscam	1.665
NM_001043064	Dscam	1.667
NM_001043068	CG8170	1.657
NM_001043069	CG34141	-1.073
NM_001043071	CG9027	5.275
NM_001043076	aPKC	3.697
NM_001043077	aPKC	3.247
NM_001043078	aPKC	3.872
NM_001043079	aPKC	3.706
NM_001043080	aPKC	3.062
NM_001043082	chn	-1.741
NM_001043083	trpm	2.579
NM_001043084	trpm	2.935
NM_001043085	trpm	2.698
NM_001043086	Zasp52	3.811
NM_001043087	mRpL34	3.405
NM_001043088	Spn53F	0.935
NM_001043090	Hsf	3.076
NM_001043091	Hsf	3.165
NM_001043092	Hsf	3.109
NM_001043095	Mctp	2.114
NM_001043097	hrg	3.168
NM_001043098	otp	-0.054
NM_001043100	CG15661	-0.028
NM_001043103	yki	4.077
NM_001043106	CG9380	6.140
NM_001043107	Mkp	3.600
NM_001043108	Mkp	3.716
NM_001043109	CG34140	3.600
NM_001043111	klar	3.878
NM_001043112	zormin	1.888
NM_001043113	zormin	1.620
NM_001043114	zormin	2.033
NM_001043116	Eip63E	2.446
NM_001043117	Eip63E	2.476
NM_001043118	Eip63E	2.343
NM_001043119	Eip63E	2.417
NM_001043120	Eip63E	2.334
NM_001043121	Eip63E	1.622
NM_001043122	BG642312	2.638
NM_001043128	Snmp2	1.420
NM_001043129	Ect4	5.458
NM_001043132	CG3689	3.601
NM_001043135	CG5946	4.661
NM_001043136	CG5946	4.836
NM_001043139	caps	3.405
NM_001043140	CG33260	1.028
NM_001043141	CG17839	1.819
NM_001043142	CG7255	3.630
NM_001043143	CG7255	3.121
NM_001043151	CG34116	1.094
NM_001043152	Papss	2.371
NM_001043153	siz	3.321
NM_001043154	mub	2.067
NM_001043156	nrm	1.155
NM_001043167	CG17698	2.767
NM_001043168	CG17698	2.670
NM_001043169	CG17698	2.782
NM_001043175	CG40045	5.851
NM_001043186	mRpS5	4.001
NM_001043187	mRpS5	5.328
NM_001043188	mRpS5	5.345
NM_001043195	CG1103	1.489
NM_001043199	CG34112	4.024
NM_001043211	Cdep	4.304
NM_001043213	l(3)82Fd	4.587
NM_001043214	l(3)82Fd	4.748
NM_001043218	CG42724	2.483
NM_001043219	CG1041	4.133
NM_001043221	mtg	-0.126
NM_001043222	Poxm	7.190
NM_001043223	CG34135	1.544
NM_001043224	CG34135	0.869
NM_001043225	CG34117	3.726
NM_001043226	ps	4.158
NM_001043227	ps	3.968
NM_001043230	ps	4.093
NM_001043232	ps	4.200
NM_001043234	Whamy	5.236
NM_001043235	CG12814	2.312
NM_001043241	CG42327	2.761
NM_001043243	l(3)neo38	1.719
NM_001043244	l(3)neo38	1.476
NM_001043247	tefu	-0.646
NM_001043250	Mhcl	1.822
NM_001043251	Mhcl	1.794
NM_001043252	CG10405	2.583
NM_001043255	Dhfr	3.495
NM_001043256	Dys	2.843
NM_001043257	Dys	2.287
NM_001043258	Dys	2.129
NM_001043259	Dys	2.425
NM_001043260	Dys	2.810
NM_001043261	Dys	2.375
NM_001043262	Dys	3.212
NM_001043263	Dys	2.130
NM_001043268	GluRIIE	-0.592
NM_001043269	CG17271	5.982
NM_001043271	SNF4Agamma	4.900
NM_001043272	SNF4Agamma	4.539
NM_001043273	SNF4Agamma	4.306
NM_001043274	SNF4Agamma	4.763
NM_001043275	CG7956	1.674
NM_001043277	SKIP	0.152
NM_001043279	muted	4.565
NM_001043281	wge	2.217
NM_001043286	crb	1.761
NM_001043287	CG13624	2.306
NM_001043288	CG13624	2.241
NM_001043289	mld	-0.108
NM_001043290	mld	-0.092
NM_001043291	CG34150	3.239
NM_001043296	scrib	3.605
NM_001043298	Doa	2.746
NM_001043299	Doa	3.731
NM_001043300	Doa	3.558
NM_001043301	Cnx99A	5.481
NM_001043302	Cnx99A	5.473
NM_001043307	CG34133	2.069
NM_001043308	CG34133	2.091
NM_001043309	CG42558	3.294
NM_001103379	CG32000	4.066
NM_001103382	eIF4G	5.467
NM_001103385	RhoGAP1A	4.956
NM_001103386	RhoGAP1A	4.959
NM_001103389	fz3	2.174
NM_001103392	CG3655	1.998
NM_001103394	futsch	-5.328
NM_001103398	boi	-0.517
NM_001103399	trol	2.070
NM_001103400	sgg	3.409
NM_001103403	tlk	1.710
NM_001103407	ec	-0.961
NM_001103410	CG4068	0.552
NM_001103411	CG4068	0.483
NM_001103412	CG4068	0.526
NM_001103413	Rnp4F	2.589
NM_001103414	Rnp4F	2.701
NM_001103419	Ca-alpha1T	-0.898
NM_001103422	CG34417	3.245
NM_001103423	CG34417	2.798
NM_001103425	CG34417	2.800
NM_001103426	CG34417	2.117
NM_001103427	pod1	2.057
NM_001103435	Trf2	-0.123
NM_001103436	CG1440	4.204
NM_001103437	CG1440	4.169
NM_001103438	CG33181	5.423
NM_001103440	CG33181	5.224
NM_001103441	CG33181	5.010
NM_001103442	CG33181	5.057
NM_001103443	Trf4-1	1.745
NM_001103444	Trf4-1	0.966
NM_001103448	AP-1gamma	4.254
NM_001103451	CG34449	1.811
NM_001103452	CG34449	1.990
NM_001103454	Megalin	-0.029
NM_001103456	Megalin	-0.714
NM_001103466	CG15309	2.026
NM_001103468	CG34408	2.722
NM_001103471	spri	-0.212
NM_001103474	spri	0.127
NM_001103475	CG15211	5.263
NM_001103476	CG15211	5.282
NM_001103477	CG15211	5.218
NM_001103480	Kap3	1.487
NM_001103481	Kap3	1.482
NM_001103482	Kap3	1.460
NM_001103483	Kap3	1.473
NM_001103484	CG34348	2.781
NM_001103485	dlg1	2.060
NM_001103486	dlg1	1.911
NM_001103493	Sec16	3.306
NM_001103494	Sec16	2.710
NM_001103496	CG34411	-0.281
NM_001103497	sno	0.883
NM_001103498	sno	0.771
NM_001103499	IP3K2	2.581
NM_001103502	CG34324	10.653
NM_001103503	Tango13	2.157
NM_001103504	NFAT	0.714
NM_001103507	CG10990	3.917
NM_001103510	l(1)G0469	3.128
NM_001103513	rab3-GEF	-1.040
NM_001103517	CG17209	2.370
NM_001103518	CG32581	3.142
NM_001103519	sd	3.138
NM_001103520	sd	3.236
NM_001103521	sd	3.339
NM_001103522	sd	3.262
NM_001103523	Chc	5.424
NM_001103524	Chc	5.448
NM_001103526	CG3632	3.312
NM_001103527	CG3632	3.282
NM_001103528	CG3632	3.281
NM_001103529	CG3632	3.276
NM_001103530	CG9915	2.770
NM_001103531	Arp14D	5.044
NM_001103532	Nup153	2.151
NM_001103533	CG34325	3.560
NM_001103534	CG4829	2.035
NM_001103535	CG4829	2.062
NM_001103536	CG13004	1.028
NM_001103538	CG8949	2.294
NM_001103539	Arpc3B	5.567
NM_001103542	CG42684	2.476
NM_001103544	upd3	0.112
NM_001103546	CrebB-17A	2.905
NM_001103547	CrebB-17A	2.128
NM_001103548	CrebB-17A	2.075
NM_001103557	CG7378	3.087
NM_001103558	CG34329	10.444
NM_001103559	CG34330	9.984
NM_001103560	vav	1.904
NM_001103570	Ntf-2	3.385
NM_001103571	l(1)G0196	3.590
NM_001103576	CG3625	5.512
NM_001103577	Ets21C	-0.775
NM_001103580	CG7337	2.862
NM_001103581	CG7337	2.995
NM_001103582	CG4238	0.332
NM_001103583	CG4238	0.334
NM_001103587	CG34174	1.135
NM_001103588	CG15387	1.779
NM_001103594	toc	2.244
NM_001103598	CG34394	3.080
NM_001103599	CG34394	3.186
NM_001103601	CG34394	3.090
NM_001103604	CG12795	2.834
NM_001103606	CG34176	7.668
NM_001103607	CG3714	2.822
NM_001103608	Atet	1.407
NM_001103609	Atet	1.606
