transcript_name	Gene_name	RAL-857-Challenged
NM_001014708	ewg	1.938
NM_001014709	ewg	1.778
NM_001014710	ewg	1.766
NM_001014711	ewg	1.794
NM_001014712	ewg	1.852
NM_001014720	norpA	1.245
NM_001014721	norpA	1.926
NM_001014722	peb	4.405
NM_001014723	Proc-R	1.237
NM_001014724	Proc-R	1.357
NM_001014725	Act5C	9.408
NM_001014726	Act5C	9.190
NM_001014728	l(1)G0232	3.547
NM_001014729	l(1)G0232	4.452
NM_001014731	CkIIbeta	4.738
NM_001014736	HDAC4	2.712
NM_001014737	up	6.796
NM_001014738	up	6.827
NM_001014739	up	6.870
NM_001014740	rdgB	0.315
NM_001014741	rdgB	1.022
NM_001014742	Top1	3.708
NM_001014745	Ac13E	1.964
NM_001014746	CG32576	2.329
NM_001014747	nonA	3.251
NM_001014750	mnb	2.362
NM_001014752	CoRest	2.551
NM_001014753	CoRest	2.488
NM_001014754	CoRest	1.403
NM_001014755	CoRest	1.095
NM_001014756	CoRest	1.398
NM_001031858	Caps	0.378
NM_001031859	Caps	0.349
NM_001031860	Caps	0.259
NM_001031861	tyn	2.826
NM_001031862	trol	2.268
NM_001031863	trol	2.279
NM_001031864	trol	2.416
NM_001031865	trol	1.731
NM_001031866	trol	2.330
NM_001031867	trol	2.378
NM_001031869	CG15892	2.406
NM_001031877	CG3192	4.528
NM_001031878	Pink1	4.392
NM_001031879	Pink1	4.355
NM_001031880	Pink1	4.399
NM_001031881	Pink1	4.384
NM_001031882	Pink1	4.391
NM_001031883	Pink1	4.390
NM_001031887	CG33691	1.471
NM_001031888	CG33691	1.967
NM_001031889	CG33691	1.488
NM_001031891	Sxl	3.383
NM_001031892	Sxl	2.990
NM_001031893	Sxl	3.996
NM_001031894	Sxl	3.834
NM_001031895	Sxl	3.586
NM_001031897	mei-218	-1.260
NM_001031898	mei-217	-1.260
NM_001031900	Shawn	2.928
NM_001031901	Shawn	1.830
NM_001031902	Shawn	1.862
NM_001031903	Tim9b	2.317
NM_001031904	Tim9b	2.039
NM_001031907	Rpp20	3.523
NM_001031908	CG33932	3.523
NM_001031912	CG33714	4.470
NM_001031913	CG33714	4.431
NM_001031914	CG33713	4.431
NM_001031915	CG33713	4.470
NM_001031916	bbx	4.206
NM_001031917	bbx	3.726
NM_001031918	waw	3.727
NM_001031933	CG33232	5.679
NM_001031938	Pmi	2.361
NM_001031939	Pmi	2.419
NM_001031940	PGRP-LD	2.383
NM_001031941	PGRP-LD	2.419
NM_001031942	PGRP-LD	2.377
NM_001031943	Hsp22	3.852
NM_001031944	Hsp22	2.919
NM_001031945	Hsp67Bb	2.919
NM_001031947	CG33926	4.242
NM_001031964	AlCR2	-0.344
NM_001031967	kug	1.953
NM_001031977	l(3)82Fd	5.057
NM_001031978	l(3)82Fd	5.311
NM_001031980	Ada2b	4.852
NM_001031981	CG33722	2.203
NM_001031982	CG33722	3.138
NM_001031983	CG18749	2.203
NM_001031984	Pif1B	3.921
NM_001031985	Pif1B	3.760
NM_001031986	Pif1A	2.771
NM_001031987	Pif1A	3.760
NM_001031989	CG33936	5.743
NM_001031990	CG33936	5.600
NM_001031991	CG33936	6.383
NM_001031999	hth	1.519
NM_001032004	sea	5.315
NM_001032005	sea	5.875
NM_001032006	sea	5.463
NM_001032007	sea	5.453
NM_001032008	fabp	5.875
NM_001032009	fabp	6.674
NM_001032010	fabp	5.913
NM_001032012	CG10096	3.823
NM_001032015	primo-1	5.068
NM_001032016	primo-1	3.886
NM_001032017	primo-2	3.886
NM_001032019	srp	0.178
NM_001032020	Prx5	5.368
NM_001032021	gukh	3.019
NM_001032032	how	1.887
NM_001032033	Myo95E	1.124
NM_001032035	Myo95E	1.570
NM_001032036	Myo95E	1.119
NM_001032037	Myo95E	1.565
NM_001032039	CG33095	2.793
NM_001032040	CG11891	10.597
NM_001032044	CG33635	2.576
NM_001032048	GlyP	5.069
NM_001032049	l(2)s5379	6.559
NM_001032050	CG9960	4.256
NM_001032054	Pp2A-29B	5.585
NM_001032055	Pp2A-29B	5.576
NM_001032056	Pp2A-29B	5.576
NM_001032059	mus201	3.319
NM_001032060	mus201	3.255
NM_001032061	mus201	3.284
NM_001032062	CG9515	4.058
NM_001032063	CG9510	4.702
NM_001032065	CG17768	7.062
NM_001032066	LSm-4	7.063
NM_001032073	Nos	0.091
NM_001032076	cana	2.486
NM_001032077	CG33695	1.970
NM_001032078	CG33695	1.866
NM_001032079	CG33695	1.793
NM_001032081	CG33695	1.854
NM_001032091	DNApol-gamma35	2.958
NM_001032092	CG33649	2.966
NM_001032095	Adh	8.330
NM_001032096	Adh	8.028
NM_001032097	Adh	7.326
NM_001032098	Adh	7.378
NM_001032099	Adh	8.316
NM_001032101	Adhr	7.326
NM_001032110	spi	3.480
NM_001032217	Df31	4.742
NM_001032223	CG33914	1.515
NM_001032224	Spn43Ab	4.016
NM_001032225	CG33774	3.289
NM_001032229	lola	4.064
NM_001032231	CG18003	1.963
NM_001032232	CG11919	1.963
NM_001032236	Dyb	2.360
NM_001032237	Dyb	2.413
NM_001032241	CG33671	3.586
NM_001032242	CG33672	3.586
NM_001032244	seq	-0.128
NM_001032246	CG33155	3.679
NM_001032247	CG33155	4.165
NM_001032248	CG33155	4.047
NM_001032249	Zasp52	3.436
NM_001032250	Zasp52	4.400
NM_001032251	CG10731	1.336
NM_001032268	sm	0.447
NM_001032269	sm	0.421
NM_001032270	CG13430	2.197
NM_001032271	CG13430	2.347
NM_001032272	CG33785	2.707
NM_001032273	CG33786	2.707
NM_001032401	cp309	2.161
NM_001032402	cp309	1.148
NM_001032403	Neu3	2.389
NM_001032404	Neu3	1.805
NM_001032405	kay	6.595
NM_001032406	kay	7.268
NM_001032407	kay	6.966
NM_001032408	kay	6.993
NM_001038712	CG33978	-0.709
NM_001038713	RhoGAP102A	-0.596
NM_001038714	PMCA	4.333
NM_001038716	CG17471	4.617
NM_001038717	CG17471	4.616
NM_001038718	Mitf	4.439
NM_001038719	Mitf	4.093
NM_001038721	Dyrk3	3.598
NM_001038723	Dyrk3	3.623
NM_001038725	Dyrk3	3.379
NM_001038726	tyn	2.842
NM_001038727	CG4293	1.620
NM_001038728	CG4293	1.877
NM_001038729	skpA	5.416
NM_001038731	pck	2.492
NM_001038732	Adar	1.480
NM_001038733	CG32803	1.711
NM_001038736	CG3091	5.764
NM_001038738	z	2.948
NM_001038739	mit(1)15	1.973
NM_001038746	sdt	2.472
NM_001038747	sdt	3.483
NM_001038750	CG34026	6.486
NM_001038752	Yippee	4.525
NM_001038753	CG11103	2.708
NM_001038755	CG14408	1.954
NM_001038756	drd	2.859
NM_001038757	Grip128	0.445
NM_001038758	disco	-0.218
NM_001038759	CG34015	3.111
NM_001038760	Axs	1.325
NM_001038763	CG8188	3.425
NM_001038765	tgy	0.343
NM_001038766	CG32529	3.204
NM_001038770	Cp110	0.220
NM_001038771	fog	1.136
NM_001038772	CG4822	0.931
NM_001038773	CG4822	0.873
NM_001038774	CG4822	1.007
NM_001038775	CG4822	1.071
NM_001038776	CG3164	7.439
NM_001038778	CG3662	5.375
NM_001038780	capt	7.073
NM_001038781	capt	6.461
NM_001038784	Jon25Bi	5.364
NM_001038785	CG31919	5.388
NM_001038786	CG33995	5.436
NM_001038787	CG33995	5.388
NM_001038788	CG33995	5.411
NM_001038793	CG7224	1.965
NM_001038795	mon2	3.381
NM_001038796	RpS13	9.028
NM_001038802	RpL13	8.559
NM_001038810	porin	6.552
NM_001038811	CG14946	0.376
NM_001038812	vir-1	3.634
NM_001038814	loqs	2.686
NM_001038817	smi35A	2.133
NM_001038818	smi35A	2.157
NM_001038821	yuri	1.290
NM_001038822	yuri	2.090
NM_001038823	yuri	1.466
NM_001038824	Pax	5.222
NM_001038825	CG10462	3.903
NM_001038826	CG10462	3.817
NM_001038842	CG2201	4.593
NM_001038843	CG2201	4.790
NM_001038847	Gapdh1	6.622
NM_001038849	RanBPM	4.318
NM_001038850	CG9027	2.479
NM_001038852	CG33964	1.845
NM_001038854	NAT1	5.444
NM_001038855	cnn	2.858
NM_001038856	Ih	0.800
NM_001038857	Ih	2.130
NM_001038858	Ih	1.020
NM_001038859	Ih	1.021
NM_001038865	CG33981	2.898
NM_001038866	CG33981	2.885
NM_001038868	CG34005	2.182
NM_001038872	CG34045	2.910
NM_001038874	CG34040	8.543
NM_001038877	CG13516	3.204
NM_001038882	CG4622	2.364
NM_001038884	Atf-2	1.884
NM_001038885	Tina-1	4.770
NM_001038890	CG34056	1.849
NM_001038894	CG33965	2.423
NM_001038895	CG33966	3.338
NM_001038900	CG11583	3.627
NM_001038908	CG33205	4.824
NM_001038909	CG33205	4.611
NM_001038913	CG10973	4.394
NM_001038916	Spt20	1.090
NM_001038917	nuf	3.697
NM_001038918	nuf	4.019
NM_001038919	nuf	3.647
NM_001038920	nuf	3.540
NM_001038921	nuf	3.903
NM_001038922	nuf	3.251
NM_001038923	CG34039	2.236
NM_001038924	Trl	2.368
NM_001038925	Trl	3.517
NM_001038926	Trl	2.862
NM_001038927	CG7255	3.720
NM_001038938	CG33258	4.919
NM_001038944	Deaf1	2.846
NM_001038945	CG33969	2.588
NM_001038946	CG33969	2.525
NM_001038952	Glut4EF	3.664
NM_001038953	GstD1	9.736
NM_001038962	CG33977	4.192
NM_001038966	kibra	1.628
NM_001038968	mtSSB	4.363
NM_001038969	ema	2.620
NM_001038976	hh	4.145
NM_001038977	Saf-B	3.489
NM_001038981	CG33970	4.609
NM_001038982	CG33970	4.392
NM_001038984	CG12877	2.371
NM_001038986	Pglym78	5.995
NM_001038987	Pglym78	5.978
NM_001042788	vnd	3.424
NM_001042789	CG13366	3.316
NM_001042791	CG42259	0.897
NM_001042793	phl	3.085
NM_001042794	sgg	3.825
NM_001042796	rg	2.190
NM_001042797	CG12541	1.332
NM_001042798	sdt	3.510
NM_001042800	CG32699	3.558
NM_001042801	CG34104	1.757
NM_001042802	CG34104	1.149
NM_001042803	Imp	1.047
NM_001042804	Myo10A	-1.108
NM_001042811	Lsd-2	5.607
NM_001042812	Lsd-2	5.429
NM_001042813	shi	3.949
NM_001042814	shi	3.957
NM_001042817	RhoGAP15B	4.375
NM_001042818	baz	2.466
NM_001042822	CG34120	2.153
NM_001042846	CG40486	3.569
NM_001042847	CG40486	4.079
NM_001042851	stnA	1.071
NM_001042852	stnA	1.054
NM_001042853	stnB	1.071
NM_001042854	stnB	1.054
NM_001042855	FucTC	5.273
NM_001042856	Rab21	4.665
NM_001042857	Rab21	4.495
NM_001042858	CG13865	4.148
NM_001042859	CG13865	3.651
NM_001042862	CG7337	2.998
NM_001042863	CG7337	3.495
NM_001042864	toc	2.970
NM_001042867	jet	1.946
NM_001042869	CG34125	3.441
NM_001042870	CG34126	2.592
NM_001042873	pgant5	3.321
NM_001042876	homer	2.828
NM_001042877	Mnn1	1.778
NM_001042878	CG13784	4.302
NM_001042879	CG34132	4.194
NM_001042881	CG8486	-0.503
NM_001042884	CG32982	4.890
NM_001042885	CG5850	1.778
NM_001042886	CG34109	2.470
NM_001042888	l(2)06225	6.393
NM_001042889	l(2)06225	5.869
NM_001042891	bru-2	4.803
NM_001042892	bun	4.311
NM_001042893	bun	5.173
NM_001042894	bun	4.061
NM_001042895	CG31731	2.394
NM_001042897	mol	-0.088
NM_001042898	mol	0.207
NM_001042899	mol	0.299
NM_001042901	CLIP-190	5.285
NM_001042902	CLIP-190	5.218
NM_001042909	CG31619	-0.414
NM_001042910	step	3.725
NM_001042922	RpL5	9.964
NM_001042923	RpL5	10.044
NM_001042927	CG17490	1.239
NM_001042928	CG17490	1.182
NM_001042929	CG17490	1.954
NM_001042930	CG17490	2.503
NM_001042931	CG17493	3.990
NM_001042932	CG17494	3.005
NM_001042934	CG17494	2.987
NM_001042938	CG40439	4.856
NM_001042939	CG40439	4.820
NM_001042942	CG17715	3.467
NM_001042943	CG17715	2.100
NM_001042944	CG17715	3.534
NM_001042945	CG17715	1.793
NM_001042946	CG17715	3.525
NM_001042947	CG17715	3.495
NM_001042950	lt	3.260
NM_001042951	lt	3.290
NM_001042952	lt	3.298
NM_001042956	cta	2.041
NM_001042959	Spf45	4.496
NM_001042960	Spf45	4.434
NM_001042961	Spf45	4.443
NM_001042962	CG17683	4.559
NM_001042963	CG17683	4.689
NM_001042964	CG17683	4.171
NM_001042965	CG17683	4.570
NM_001042968	CG40127	7.052
NM_001042972	IntS3	3.185
NM_001042973	Gprk1	3.105
NM_001042975	RpL38	8.975
NM_001042977	Stlk	2.595
NM_001042979	p120ctn	3.487
NM_001042981	CG17486	4.351
NM_001042983	CG17883	4.248
NM_001042984	CG17883	4.115
NM_001042986	Nipped-B	2.818
NM_001042987	Nipped-B	2.813
NM_001042989	CG17082	3.872
NM_001042990	CG17082	3.913
NM_001042991	CG17082	3.974
NM_001042992	CG17082	3.924
NM_001042993	CG17082	3.802
NM_001042995	CG12547	3.947
NM_001042997	CG17528	3.435
NM_001042998	CG17528	4.233
NM_001043001	CG14464	4.409
NM_001043005	CG3107	3.661
NM_001043009	l(2)01289	1.798
NM_001043010	l(2)01289	1.795
NM_001043011	Dscam	0.863
NM_001043012	Dscam	0.858
NM_001043013	Dscam	0.870
NM_001043014	Dscam	0.869
NM_001043015	Dscam	0.869
NM_001043016	Dscam	0.861
NM_001043017	Dscam	0.859
NM_001043018	Dscam	0.873
NM_001043019	Dscam	0.863
NM_001043020	Dscam	0.882
NM_001043021	Dscam	0.877
NM_001043022	Dscam	0.871
NM_001043023	Dscam	0.873
NM_001043024	Dscam	0.872
NM_001043025	Dscam	0.858
NM_001043026	Dscam	0.858
NM_001043027	Dscam	0.861
NM_001043028	Dscam	0.888
NM_001043029	Dscam	0.858
NM_001043030	Dscam	0.874
NM_001043032	Dscam	0.870
NM_001043033	Dscam	0.865
NM_001043034	Dscam	0.858
NM_001043035	Dscam	0.862
NM_001043036	Dscam	0.871
NM_001043037	Dscam	0.870
NM_001043038	Dscam	0.859
NM_001043039	Dscam	0.857
NM_001043040	Dscam	0.861
NM_001043041	Dscam	0.863
NM_001043044	Dscam	0.871
NM_001043045	Dscam	0.860
NM_001043047	Dscam	0.871
NM_001043048	Dscam	0.871
NM_001043049	Dscam	0.861
NM_001043050	Dscam	0.858
NM_001043051	Dscam	0.872
NM_001043052	Dscam	0.871
NM_001043053	Dscam	0.860
NM_001043055	Dscam	0.865
NM_001043056	Dscam	0.869
NM_001043057	Dscam	0.882
NM_001043058	Dscam	0.871
NM_001043059	Dscam	0.860
NM_001043060	Dscam	0.858
NM_001043061	Dscam	0.873
NM_001043062	Dscam	0.861
NM_001043063	Dscam	0.871
NM_001043064	Dscam	0.871
NM_001043068	CG8170	1.220
NM_001043069	CG34141	0.273
NM_001043071	CG9027	4.490
NM_001043076	aPKC	4.768
NM_001043077	aPKC	4.326
NM_001043078	aPKC	5.007
NM_001043079	aPKC	4.844
NM_001043080	aPKC	4.129
NM_001043082	chn	-0.460
NM_001043083	trpm	2.636
NM_001043084	trpm	3.120
NM_001043085	trpm	2.742
NM_001043086	Zasp52	4.316
NM_001043087	mRpL34	3.249
NM_001043088	Spn53F	2.296
NM_001043090	Hsf	3.955
NM_001043091	Hsf	4.009
NM_001043092	Hsf	4.053
NM_001043095	Mctp	2.205
NM_001043097	hrg	3.556
NM_001043098	otp	0.203
NM_001043100	CG15661	4.673
NM_001043103	yki	4.728
NM_001043106	CG9380	5.544
NM_001043107	Mkp	3.471
NM_001043108	Mkp	3.567
NM_001043109	CG34140	3.471
NM_001043111	klar	4.223
NM_001043112	zormin	1.977
NM_001043113	zormin	1.661
NM_001043114	zormin	2.106
NM_001043116	Eip63E	4.181
NM_001043117	Eip63E	4.160
NM_001043118	Eip63E	4.005
NM_001043119	Eip63E	4.098
NM_001043120	Eip63E	3.992
NM_001043121	Eip63E	3.312
NM_001043122	BG642312	3.465
NM_001043128	Snmp2	3.041
NM_001043129	Ect4	5.632
NM_001043132	CG3689	4.260
NM_001043135	CG5946	5.093
NM_001043136	CG5946	5.261
NM_001043139	caps	4.012
NM_001043140	CG33260	2.304
NM_001043141	CG17839	1.972
NM_001043142	CG7255	3.829
NM_001043143	CG7255	3.320
NM_001043151	CG34116	2.389
NM_001043152	Papss	3.547
NM_001043153	siz	4.534
NM_001043154	mub	2.623
NM_001043156	nrm	1.680
NM_001043167	CG17698	2.678
NM_001043168	CG17698	2.513
NM_001043169	CG17698	2.625
NM_001043175	CG40045	5.983
NM_001043186	mRpS5	4.571
NM_001043187	mRpS5	5.976
NM_001043188	mRpS5	5.996
NM_001043195	CG1103	1.330
NM_001043199	CG34112	3.774
NM_001043211	Cdep	4.341
NM_001043213	l(3)82Fd	4.990
NM_001043214	l(3)82Fd	5.235
NM_001043218	CG42724	3.025
NM_001043219	CG1041	2.671
NM_001043221	mtg	1.645
NM_001043222	Poxm	3.843
NM_001043223	CG34135	2.163
NM_001043224	CG34135	1.270
NM_001043225	CG34117	3.187
NM_001043226	ps	3.863
NM_001043227	ps	3.769
NM_001043230	ps	3.871
NM_001043232	ps	3.946
NM_001043234	Whamy	6.533
NM_001043235	CG12814	2.449
NM_001043241	CG42327	3.519
NM_001043243	l(3)neo38	1.798
NM_001043244	l(3)neo38	1.323
NM_001043247	tefu	-0.802
NM_001043250	Mhcl	2.498
NM_001043251	Mhcl	2.387
NM_001043252	CG10405	3.545
NM_001043255	Dhfr	3.223
NM_001043256	Dys	3.154
NM_001043257	Dys	2.642
NM_001043258	Dys	2.496
NM_001043259	Dys	2.781
NM_001043260	Dys	3.158
NM_001043261	Dys	2.750
NM_001043262	Dys	3.522
NM_001043263	Dys	2.506
NM_001043268	GluRIIE	-0.216
NM_001043269	CG17271	3.884
NM_001043271	SNF4Agamma	5.723
NM_001043272	SNF4Agamma	5.400
NM_001043273	SNF4Agamma	5.172
NM_001043274	SNF4Agamma	5.590
NM_001043275	CG7956	2.346
NM_001043277	SKIP	-0.954
NM_001043279	muted	4.294
NM_001043281	wge	2.872
NM_001043286	crb	2.480
NM_001043287	CG13624	3.953
NM_001043288	CG13624	3.903
NM_001043289	mld	-0.076
NM_001043290	mld	-0.081
NM_001043291	CG34150	2.906
NM_001043296	scrib	4.431
NM_001043298	Doa	3.599
NM_001043299	Doa	4.640
NM_001043300	Doa	4.438
NM_001043301	Cnx99A	5.018
NM_001043302	Cnx99A	5.012
NM_001043307	CG34133	4.139
NM_001043308	CG34133	4.149
NM_001043309	CG42558	3.635
NM_001103379	CG32000	3.845
NM_001103382	eIF4G	4.867
NM_001103385	RhoGAP1A	3.800
NM_001103386	RhoGAP1A	3.800
NM_001103389	fz3	1.925
NM_001103392	CG3655	2.907
NM_001103394	futsch	-1.110
NM_001103398	boi	-1.403
NM_001103399	trol	2.268
NM_001103400	sgg	3.693
NM_001103403	tlk	2.282
NM_001103407	ec	-1.755
NM_001103410	CG4068	1.761
NM_001103411	CG4068	1.680
NM_001103412	CG4068	1.726
NM_001103413	Rnp4F	2.875
NM_001103414	Rnp4F	2.991
NM_001103419	Ca-alpha1T	-0.714
NM_001103422	CG34417	3.989
NM_001103423	CG34417	3.286
NM_001103425	CG34417	3.281
NM_001103426	CG34417	2.564
NM_001103427	pod1	3.280
NM_001103435	Trf2	1.293
NM_001103436	CG1440	4.228
NM_001103437	CG1440	4.198
NM_001103438	CG33181	3.943
NM_001103440	CG33181	3.718
NM_001103441	CG33181	3.529
NM_001103442	CG33181	3.603
NM_001103443	Trf4-1	2.293
NM_001103444	Trf4-1	1.558
NM_001103448	AP-1gamma	4.482
NM_001103451	CG34449	2.764
NM_001103452	CG34449	2.750
NM_001103454	Megalin	-0.238
NM_001103456	Megalin	-2.304
NM_001103466	CG15309	1.346
NM_001103468	CG34408	2.430
NM_001103471	spri	0.776
NM_001103474	spri	1.117
NM_001103475	CG15211	6.511
NM_001103476	CG15211	6.523
NM_001103477	CG15211	6.468
NM_001103480	Kap3	2.129
NM_001103481	Kap3	2.135
NM_001103482	Kap3	2.123
NM_001103483	Kap3	2.143
NM_001103484	CG34348	2.416
NM_001103485	dlg1	2.395
NM_001103486	dlg1	2.270
NM_001103493	Sec16	2.944
NM_001103494	Sec16	2.147
NM_001103496	CG34411	0.078
NM_001103497	sno	1.686
NM_001103498	sno	1.565
NM_001103499	IP3K2	2.623
NM_001103502	CG34324	10.913
NM_001103503	Tango13	2.085
NM_001103504	NFAT	1.283
NM_001103507	CG10990	4.067
NM_001103510	l(1)G0469	3.913
NM_001103513	rab3-GEF	-1.594
NM_001103517	CG17209	3.678
NM_001103518	CG32581	3.148
NM_001103519	sd	3.989
NM_001103520	sd	4.034
NM_001103521	sd	4.160
NM_001103522	sd	4.071
NM_001103523	Chc	5.678
NM_001103524	Chc	5.703
NM_001103526	CG3632	3.812
NM_001103527	CG3632	3.779
NM_001103528	CG3632	3.780
NM_001103529	CG3632	3.775
NM_001103530	CG9915	3.331
NM_001103531	Arp14D	6.340
NM_001103532	Nup153	3.043
NM_001103533	CG34325	4.669
NM_001103534	CG4829	2.253
NM_001103535	CG4829	2.238
NM_001103536	CG13004	2.029
NM_001103538	CG8949	3.463
NM_001103539	Arpc3B	6.170
NM_001103542	CG42684	2.463
NM_001103544	upd3	4.767
NM_001103546	CrebB-17A	4.382
NM_001103547	CrebB-17A	3.638
NM_001103548	CrebB-17A	3.652
NM_001103557	CG7378	3.264
NM_001103558	CG34329	7.161
NM_001103559	CG34330	7.693
NM_001103560	vav	2.495
NM_001103570	Ntf-2	3.401
NM_001103571	l(1)G0196	2.736
NM_001103576	CG3625	4.624
NM_001103577	Ets21C	4.384
NM_001103580	CG7337	3.376
NM_001103581	CG7337	3.497
NM_001103582	CG4238	0.922
NM_001103583	CG4238	0.843
NM_001103587	CG34174	2.174
NM_001103588	CG15387	2.864
NM_001103594	toc	3.621
NM_001103598	CG34394	4.500
NM_001103599	CG34394	4.621
NM_001103601	CG34394	4.524
NM_001103604	CG12795	3.855
NM_001103606	CG34176	7.728
NM_001103607	CG3714	2.932
NM_001103608	Atet	3.261
NM_001103609	Atet	3.343
NM_001103610	Traf4	1.298
